hiring_manager: deepsearch; similarity_score: 0.97958
hiring_manager: namelezz; similarity_score: 0.97958
hiring_manager: papaonlegs; similarity_score: 0.95999
hiring_manager: bohnej; similarity_score: 0.95999
hiring_manager: zacharycohn; similarity_score: 0.94117
hiring_manager: bostonpete; similarity_score: 0.94117
hiring_manager: ogennadi; similarity_score: 0.90565
hiring_manager: siddarthd2919; similarity_score: 0.90565
hiring_manager: xasos; similarity_score: 0.90565
hiring_manager: OpenDrapery; similarity_score: 0.88888
hiring_manager: BillFranklin; similarity_score: 0.88888
hiring_manager: neftaly; similarity_score: 0.88888
hiring_manager: iandanforth; similarity_score: 0.87272
hiring_manager: joshcanhelp; similarity_score: 0.87272
hiring_manager: metaobject; similarity_score: 0.87271
hiring_manager: ljlolel; similarity_score: 0.85714
hiring_manager: fourier; similarity_score: 0.85714
hiring_manager: Caleb_Smith; similarity_score: 0.85713
hiring_manager: fractalsea; similarity_score: 0.85713
hiring_manager: grinich; similarity_score: 0.84210
hiring_manager: nathanwdavis; similarity_score: 0.84210
hiring_manager: curiousDog; similarity_score: 0.84210
hiring_manager: sid6376; similarity_score: 0.84209
hiring_manager: plaban123; similarity_score: 0.84209
hiring_manager: hrehhf; similarity_score: 0.82758
hiring_manager: fapjacks; similarity_score: 0.81355
hiring_manager: smikhanov; similarity_score: 0.81355
hiring_manager: siscia; similarity_score: 0.81355
hiring_manager: khwang; similarity_score: 0.81355
hiring_manager: bkovacev; similarity_score: 0.79999
hiring_manager: fuckthepoor; similarity_score: 0.79999
hiring_manager: quinthar; similarity_score: 0.79999
hiring_manager: unclesaamm; similarity_score: 0.78687
hiring_manager: _gordee; similarity_score: 0.78687
hiring_manager: petrosagg; similarity_score: 0.77419
hiring_manager: rrpadhy; similarity_score: 0.77418
hiring_manager: HeyLaughingBoy; similarity_score: 0.77418
hiring_manager: vaughnd; similarity_score: 0.77418
hiring_manager: emcienjobs; similarity_score: 0.76190
hiring_manager: jerematasno; similarity_score: 0.76189
hiring_manager: tobinharris; similarity_score: 0.76189
hiring_manager: st8machine; similarity_score: 0.76189
hiring_manager: zerr; similarity_score: 0.74999
hiring_manager: kbar13; similarity_score: 0.74999
hiring_manager: chrisbennet; similarity_score: 0.74999
hiring_manager: Cyranix; similarity_score: 0.74999
hiring_manager: fnaticshank; similarity_score: 0.72727
hiring_manager: Blackthorn; similarity_score: 0.72726
hiring_manager: timanglade; similarity_score: 0.71641
hiring_manager: rememberlenny; similarity_score: 0.71641
hiring_manager: miles932; similarity_score: 0.71641
hiring_manager: geverett; similarity_score: 0.71640
hiring_manager: toreriklinnerud; similarity_score: 0.69564
hiring_manager: manpageman; similarity_score: 0.69564
hiring_manager: untilHellbanned; similarity_score: 0.68570
hiring_manager: frabcus; similarity_score: 0.67605
hiring_manager: milewska; similarity_score: 0.66666
hiring_manager: lesleyann25; similarity_score: 0.66665
hiring_manager: doxcf434; similarity_score: 0.65753
hiring_manager: reubendoetsch; similarity_score: 0.65752
hiring_manager: g06; similarity_score: 0.65752
hiring_manager: beaverfox; similarity_score: 0.64864
hiring_manager: cllns; similarity_score: 0.64864
hiring_manager: greenjellybean; similarity_score: 0.64863
hiring_manager: justhw; similarity_score: 0.63999
hiring_manager: spot; similarity_score: 0.63999
hiring_manager: darrennix; similarity_score: 0.63999
hiring_manager: edent; similarity_score: 0.63999
hiring_manager: S4M; similarity_score: 0.63157
hiring_manager: dalys; similarity_score: 0.62336
hiring_manager: ericbogs; similarity_score: 0.62336
hiring_manager: pouloum78; similarity_score: 0.61538
hiring_manager: ninetax; similarity_score: 0.60759
hiring_manager: yavery; similarity_score: 0.59999
hiring_manager: roybarberuk; similarity_score: 0.59999
hiring_manager: ugh123; similarity_score: 0.57831
hiring_manager: feverishaaron; similarity_score: 0.57830
hiring_manager: jorgecastillo; similarity_score: 0.57141
hiring_manager: finnh; similarity_score: 0.56470
hiring_manager: k1w1; similarity_score: 0.56469
hiring_manager: burnout1540; similarity_score: 0.55813
hiring_manager: samuelbrin; similarity_score: 0.55171
hiring_manager: amac; similarity_score: 0.54544
hiring_manager: pwman; similarity_score: 0.53332
hiring_manager: biomimic; similarity_score: 0.53332
hiring_manager: pohungc; similarity_score: 0.53332
hiring_manager: lbo; similarity_score: 0.52747
hiring_manager: imdane; similarity_score: 0.52746
hiring_manager: murtza; similarity_score: 0.52173
hiring_manager: edziubudzik; similarity_score: 0.51611
hiring_manager: kefeizhou; similarity_score: 0.51063
hiring_manager: 7Figures2Commas; similarity_score: 0.49999
hiring_manager: ehberger; similarity_score: 0.49999
hiring_manager: jack7890; similarity_score: 0.49999
hiring_manager: frb; similarity_score: 0.49483
hiring_manager: marybheine; similarity_score: 0.48979
hiring_manager: rfergie; similarity_score: 0.48978
hiring_manager: 7parkdata; similarity_score: 0.48978
hiring_manager: DustinCalim; similarity_score: 0.48484
hiring_manager: andrewmb; similarity_score: 0.47058
hiring_manager: TheMakeA; similarity_score: 0.47058
hiring_manager: realdlee; similarity_score: 0.47058
hiring_manager: statictype; similarity_score: 0.46601
hiring_manager: annalewis7; similarity_score: 0.46153
hiring_manager: damon_c; similarity_score: 0.46153
hiring_manager: yegg; similarity_score: 0.45282
hiring_manager: frisco; similarity_score: 0.45282
hiring_manager: chrisdl; similarity_score: 0.45282
hiring_manager: samingrassia; similarity_score: 0.45282
hiring_manager: lsee; similarity_score: 0.45282
hiring_manager: retrodict; similarity_score: 0.45282
hiring_manager: ivanzhao; similarity_score: 0.44859
hiring_manager: kiyoto; similarity_score: 0.44859
hiring_manager: jsaxton86; similarity_score: 0.44859
hiring_manager: drpancake; similarity_score: 0.44444
hiring_manager: eric_romo; similarity_score: 0.44444
hiring_manager: kevinschumacher; similarity_score: 0.44443
hiring_manager: carlatqueue; similarity_score: 0.44443
hiring_manager: brettz; similarity_score: 0.43242
hiring_manager: Equiet; similarity_score: 0.43242
hiring_manager: jszumski; similarity_score: 0.43242
hiring_manager: mattnguyen; similarity_score: 0.42856
hiring_manager: wattenberger; similarity_score: 0.42856
hiring_manager: spooneybarger; similarity_score: 0.42856
hiring_manager: artursapek; similarity_score: 0.42856
hiring_manager: uwemaurer; similarity_score: 0.42856
hiring_manager: mmelin; similarity_score: 0.42477
hiring_manager: robg; similarity_score: 0.42477
hiring_manager: JuliaLam; similarity_score: 0.42476
hiring_manager: encore2097; similarity_score: 0.41738
hiring_manager: paradox95; similarity_score: 0.41738
hiring_manager: dbuxton; similarity_score: 0.41379
hiring_manager: nschuett; similarity_score: 0.41025
hiring_manager: yonibaciu1; similarity_score: 0.40677
hiring_manager: rasengan; similarity_score: 0.40677
hiring_manager: saucelabs; similarity_score: 0.40335
hiring_manager: dmritard96; similarity_score: 0.39999
hiring_manager: cjbarber; similarity_score: 0.39668
hiring_manager: florianf; similarity_score: 0.39668
hiring_manager: morgante; similarity_score: 0.39668
hiring_manager: asanwal; similarity_score: 0.39668
hiring_manager: austinhallock; similarity_score: 0.39343
hiring_manager: matlock; similarity_score: 0.39024
hiring_manager: johnnyg; similarity_score: 0.39023
hiring_manager: fuelfive; similarity_score: 0.38709
hiring_manager: maramaemartin; similarity_score: 0.38709
hiring_manager: vtuulos; similarity_score: 0.38094
hiring_manager: wdewind; similarity_score: 0.37795
hiring_manager: fchollet; similarity_score: 0.37794
hiring_manager: jdjdjd; similarity_score: 0.37794
hiring_manager: alphast0rm; similarity_score: 0.37794
hiring_manager: FUSAR_rs; similarity_score: 0.37499
hiring_manager: hgrttn; similarity_score: 0.37208
hiring_manager: Renat; similarity_score: 0.37208
hiring_manager: gajomi; similarity_score: 0.36922
hiring_manager: myom; similarity_score: 0.36922
hiring_manager: ben336; similarity_score: 0.36640
hiring_manager: dangoldin; similarity_score: 0.36640
hiring_manager: baran; similarity_score: 0.36363
hiring_manager: edawerd; similarity_score: 0.36363
hiring_manager: kdavari; similarity_score: 0.36089
hiring_manager: jjnvdm; similarity_score: 0.35820
hiring_manager: espinchi; similarity_score: 0.35820
hiring_manager: peter_mcrae; similarity_score: 0.35820
hiring_manager: alexk; similarity_score: 0.35819
hiring_manager: choult; similarity_score: 0.35294
hiring_manager: Mynar; similarity_score: 0.35293
hiring_manager: Symbol; similarity_score: 0.35293
hiring_manager: hglaser; similarity_score: 0.34782
hiring_manager: propellerhat; similarity_score: 0.34781
hiring_manager: bowmanb; similarity_score: 0.34781
hiring_manager: salar; similarity_score: 0.34532
hiring_manager: FreshPuzzles; similarity_score: 0.34285
hiring_manager: sidjoshi; similarity_score: 0.34285
