hiring_manager: g06; similarity_score: 0.248
hiring_manager: yavery; similarity_score: 0.23333
hiring_manager: rrpadhy; similarity_score: 0.23222
hiring_manager: frabcus; similarity_score: 0.23109
hiring_manager: edziubudzik; similarity_score: 0.22811
hiring_manager: joshcanhelp; similarity_score: 0.22748
hiring_manager: geverett; similarity_score: 0.22274
hiring_manager: HeyLaughingBoy; similarity_score: 0.21800
hiring_manager: timanglade; similarity_score: 0.21327
hiring_manager: kefeizhou; similarity_score: 0.21188
hiring_manager: lesleyann25; similarity_score: 0.21019
hiring_manager: darrennix; similarity_score: 0.20921
hiring_manager: imdane; similarity_score: 0.20707
hiring_manager: ehberger; similarity_score: 0.20697
hiring_manager: rfergie; similarity_score: 0.20576
hiring_manager: TheMakeA; similarity_score: 0.20531
hiring_manager: lbo; similarity_score: 0.20454
hiring_manager: burnout1540; similarity_score: 0.20391
hiring_manager: BillFranklin; similarity_score: 0.20379
hiring_manager: biomimic; similarity_score: 0.20217
hiring_manager: amac; similarity_score: 0.20153
hiring_manager: jorgecastillo; similarity_score: 0.20136
hiring_manager: feverishaaron; similarity_score: 0.20069
hiring_manager: frisco; similarity_score: 0.19999
hiring_manager: beaverfox; similarity_score: 0.19905
hiring_manager: carlatqueue; similarity_score: 0.19887
hiring_manager: 7Figures2Commas; similarity_score: 0.19788
hiring_manager: emcienjobs; similarity_score: 0.19749
hiring_manager: drpancake; similarity_score: 0.19699
hiring_manager: jsaxton86; similarity_score: 0.19634
hiring_manager: k1w1; similarity_score: 0.19629
hiring_manager: spot; similarity_score: 0.19582
hiring_manager: chrisbennet; similarity_score: 0.19431
hiring_manager: ninetax; similarity_score: 0.19379
hiring_manager: chrisdl; similarity_score: 0.19274
hiring_manager: annalewis7; similarity_score: 0.19223
hiring_manager: spooneybarger; similarity_score: 0.19136
hiring_manager: pohungc; similarity_score: 0.19060
hiring_manager: statictype; similarity_score: 0.19047
hiring_manager: samuelbrin; similarity_score: 0.19011
hiring_manager: fuckthepoor; similarity_score: 0.18957
hiring_manager: roybarberuk; similarity_score: 0.18947
hiring_manager: untilHellbanned; similarity_score: 0.18894
hiring_manager: finnh; similarity_score: 0.18861
hiring_manager: mmelin; similarity_score: 0.18832
hiring_manager: ivanzhao; similarity_score: 0.18725
hiring_manager: ugh123; similarity_score: 0.18695
hiring_manager: pouloum78; similarity_score: 0.18631
hiring_manager: pwman; similarity_score: 0.18536
hiring_manager: frb; similarity_score: 0.18525
hiring_manager: murtza; similarity_score: 0.18503
hiring_manager: Blackthorn; similarity_score: 0.18483
hiring_manager: yegg; similarity_score: 0.18450
hiring_manager: wdewind; similarity_score: 0.18320
hiring_manager: lsee; similarity_score: 0.18256
hiring_manager: realdlee; similarity_score: 0.18199
hiring_manager: brettz; similarity_score: 0.18085
hiring_manager: 7parkdata; similarity_score: 0.18061
hiring_manager: damon_c; similarity_score: 0.18013
hiring_manager: ljlolel; similarity_score: 0.18009
hiring_manager: doxcf434; similarity_score: 0.17845
hiring_manager: reubendoetsch; similarity_score: 0.17741
hiring_manager: jack7890; similarity_score: 0.17729
hiring_manager: rasengan; similarity_score: 0.17678
hiring_manager: eric_romo; similarity_score: 0.17617
hiring_manager: samingrassia; similarity_score: 0.17607
hiring_manager: rememberlenny; similarity_score: 0.17535
hiring_manager: morgante; similarity_score: 0.17484
hiring_manager: paradox95; similarity_score: 0.17483
hiring_manager: robg; similarity_score: 0.17310
hiring_manager: wattenberger; similarity_score: 0.17310
hiring_manager: gajomi; similarity_score: 0.17219
hiring_manager: Equiet; similarity_score: 0.17198
hiring_manager: andrewmb; similarity_score: 0.17102
hiring_manager: tobinharris; similarity_score: 0.17061
hiring_manager: fchollet; similarity_score: 0.17049
hiring_manager: artursapek; similarity_score: 0.17024
hiring_manager: marybheine; similarity_score: 0.16935
hiring_manager: johnnyg; similarity_score: 0.16903
hiring_manager: jszumski; similarity_score: 0.16831
hiring_manager: jdjdjd; similarity_score: 0.16743
hiring_manager: dmritard96; similarity_score: 0.16718
hiring_manager: yonibaciu1; similarity_score: 0.16666
hiring_manager: greenjellybean; similarity_score: 0.16587
hiring_manager: dbuxton; similarity_score: 0.16455
hiring_manager: encore2097; similarity_score: 0.16445
hiring_manager: kevinschumacher; similarity_score: 0.16395
hiring_manager: peter_mcrae; similarity_score: 0.16358
hiring_manager: maramaemartin; similarity_score: 0.16243
hiring_manager: kiyoto; similarity_score: 0.15993
hiring_manager: milewska; similarity_score: 0.15981
hiring_manager: dangoldin; similarity_score: 0.15935
hiring_manager: Symbol; similarity_score: 0.15857
hiring_manager: FUSAR_rs; similarity_score: 0.15838
