hiring_manager: frisco; similarity_score: 0.22528
hiring_manager: kefeizhou; similarity_score: 0.22480
hiring_manager: amac; similarity_score: 0.22448
hiring_manager: edziubudzik; similarity_score: 0.21750
hiring_manager: TheMakeA; similarity_score: 0.21739
hiring_manager: pohungc; similarity_score: 0.21671
hiring_manager: brettz; similarity_score: 0.21631
hiring_manager: ehberger; similarity_score: 0.21627
hiring_manager: 7Figures2Commas; similarity_score: 0.21372
hiring_manager: 7parkdata; similarity_score: 0.21365
hiring_manager: pwman; similarity_score: 0.21219
hiring_manager: rfergie; similarity_score: 0.21193
hiring_manager: S4M; similarity_score: 0.20901
hiring_manager: statictype; similarity_score: 0.20861
hiring_manager: drpancake; similarity_score: 0.20825
hiring_manager: jsaxton86; similarity_score: 0.20776
hiring_manager: mmelin; similarity_score: 0.20715
hiring_manager: chrisbennet; similarity_score: 0.20491
hiring_manager: damon_c; similarity_score: 0.20323
hiring_manager: lbo; similarity_score: 0.20202
hiring_manager: realdlee; similarity_score: 0.20114
hiring_manager: vaughnd; similarity_score: 0.20081
hiring_manager: paradox95; similarity_score: 0.19771
hiring_manager: ivanzhao; similarity_score: 0.19721
hiring_manager: carlatqueue; similarity_score: 0.19699
hiring_manager: imdane; similarity_score: 0.19696
hiring_manager: Equiet; similarity_score: 0.19680
hiring_manager: rememberlenny; similarity_score: 0.19672
hiring_manager: roybarberuk; similarity_score: 0.19649
hiring_manager: jack7890; similarity_score: 0.19521
hiring_manager: jdjdjd; similarity_score: 0.19508
hiring_manager: feverishaaron; similarity_score: 0.19377
hiring_manager: spooneybarger; similarity_score: 0.19324
hiring_manager: dangoldin; similarity_score: 0.19298
hiring_manager: rasengan; similarity_score: 0.19285
hiring_manager: burnout1540; similarity_score: 0.19273
hiring_manager: cllns; similarity_score: 0.19262
hiring_manager: yegg; similarity_score: 0.19188
hiring_manager: eric_romo; similarity_score: 0.19127
hiring_manager: yavery; similarity_score: 0.19090
hiring_manager: dmritard96; similarity_score: 0.19062
hiring_manager: pouloum78; similarity_score: 0.19011
hiring_manager: encore2097; similarity_score: 0.18936
hiring_manager: morgante; similarity_score: 0.18865
hiring_manager: justhw; similarity_score: 0.18852
hiring_manager: jszumski; similarity_score: 0.18811
hiring_manager: gajomi; similarity_score: 0.18799
hiring_manager: samingrassia; similarity_score: 0.18770
hiring_manager: lsee; similarity_score: 0.1875
hiring_manager: murtza; similarity_score: 0.18700
hiring_manager: biomimic; similarity_score: 0.18695
hiring_manager: fchollet; similarity_score: 0.18688
hiring_manager: robg; similarity_score: 0.18655
hiring_manager: wdewind; similarity_score: 0.18625
hiring_manager: artursapek; similarity_score: 0.18558
hiring_manager: spot; similarity_score: 0.18537
hiring_manager: rrpadhy; similarity_score: 0.18442
hiring_manager: jorgecastillo; similarity_score: 0.18430
hiring_manager: yonibaciu1; similarity_score: 0.18303
hiring_manager: Symbol; similarity_score: 0.18285
hiring_manager: annalewis7; similarity_score: 0.18165
hiring_manager: finnh; similarity_score: 0.18149
hiring_manager: kiyoto; similarity_score: 0.18093
hiring_manager: Renat; similarity_score: 0.18059
hiring_manager: toreriklinnerud; similarity_score: 0.18032
hiring_manager: andrewmb; similarity_score: 0.17975
hiring_manager: peter_mcrae; similarity_score: 0.17941
hiring_manager: edawerd; similarity_score: 0.17914
hiring_manager: wattenberger; similarity_score: 0.17774
hiring_manager: ugh123; similarity_score: 0.17622
hiring_manager: frb; similarity_score: 0.17580
hiring_manager: cjbarber; similarity_score: 0.17569
hiring_manager: matlock; similarity_score: 0.17536
hiring_manager: FreshPuzzles; similarity_score: 0.17509
hiring_manager: k1w1; similarity_score: 0.17407
hiring_manager: dbuxton; similarity_score: 0.17405
hiring_manager: asanwal; similarity_score: 0.17366
hiring_manager: johnnyg; similarity_score: 0.17329
hiring_manager: geori; similarity_score: 0.17302
hiring_manager: chollida1; similarity_score: 0.17220
