hiring_manager: edziubudzik; similarity_score: 28.6140
hiring_manager: darrennix; similarity_score: 26.7361
hiring_manager: burnout1540; similarity_score: 25.7668
hiring_manager: joshcanhelp; similarity_score: 25.7217
hiring_manager: finnh; similarity_score: 25.3913
hiring_manager: amac; similarity_score: 25.3644
hiring_manager: ninetax; similarity_score: 24.6376
hiring_manager: yavery; similarity_score: 24.3589
hiring_manager: kefeizhou; similarity_score: 24.0822
hiring_manager: milewska; similarity_score: 23.7816
hiring_manager: frabcus; similarity_score: 23.6842
hiring_manager: untilHellbanned; similarity_score: 22.7005
hiring_manager: Equiet; similarity_score: 21.2121
hiring_manager: biomimic; similarity_score: 20.9549
hiring_manager: brettz; similarity_score: 20.7459
hiring_manager: baran; similarity_score: 20.6836
hiring_manager: Renat; similarity_score: 20.6563
hiring_manager: beaverfox; similarity_score: 20.5450
hiring_manager: zacharypinter; similarity_score: 20.3273
hiring_manager: carlatqueue; similarity_score: 20.3143
hiring_manager: morgante; similarity_score: 20.2959
hiring_manager: hrehhf; similarity_score: 20.2185
hiring_manager: BillFranklin; similarity_score: 20.0557
hiring_manager: jorgecastillo; similarity_score: 19.7614
hiring_manager: rememberlenny; similarity_score: 19.7424
hiring_manager: matlock; similarity_score: 19.5965
hiring_manager: HeyLaughingBoy; similarity_score: 19.5767
hiring_manager: ugh123; similarity_score: 19.4656
hiring_manager: roybarberuk; similarity_score: 19.3436
hiring_manager: salar; similarity_score: 19.0705
hiring_manager: st8machine; similarity_score: 18.75
hiring_manager: Andrew_Metail; similarity_score: 18.7161
hiring_manager: frb; similarity_score: 18.7120
hiring_manager: drpancake; similarity_score: 18.6215
hiring_manager: manpageman; similarity_score: 18.5404
hiring_manager: feverishaaron; similarity_score: 18.5248
hiring_manager: yegg; similarity_score: 18.4210
hiring_manager: wdewind; similarity_score: 18.3350
hiring_manager: Cyranix; similarity_score: 18.3098
hiring_manager: maramaemartin; similarity_score: 18.2994
hiring_manager: rasengan; similarity_score: 18.2669
hiring_manager: johnnyg; similarity_score: 18.2364
hiring_manager: greenjellybean; similarity_score: 18.1818
hiring_manager: damon_c; similarity_score: 17.8817
