hiring_manager: edziubudzik; similarity_score: 21.4470
hiring_manager: untilHellbanned; similarity_score: 20.5211
hiring_manager: 7parkdata; similarity_score: 18.8014
hiring_manager: ninetax; similarity_score: 18.6259
hiring_manager: darrennix; similarity_score: 18.5567
hiring_manager: brettz; similarity_score: 17.8980
hiring_manager: yavery; similarity_score: 17.8817
hiring_manager: mmelin; similarity_score: 17.6724
hiring_manager: toreriklinnerud; similarity_score: 17.2006
hiring_manager: jack7890; similarity_score: 16.9076
hiring_manager: doxcf434; similarity_score: 16.7146
hiring_manager: morgante; similarity_score: 16.5872
hiring_manager: jszumski; similarity_score: 16.5503
hiring_manager: darrenkopp; similarity_score: 16.4257
hiring_manager: maramaemartin; similarity_score: 16.3713
hiring_manager: murtza; similarity_score: 16.1325
hiring_manager: yegg; similarity_score: 15.9744
hiring_manager: artursapek; similarity_score: 15.8245
hiring_manager: hrehhf; similarity_score: 15.7782
hiring_manager: joshcanhelp; similarity_score: 15.7024
hiring_manager: hglaser; similarity_score: 15.4970
hiring_manager: lesleyann25; similarity_score: 15.1898
hiring_manager: lsee; similarity_score: 15.1243
hiring_manager: ugh123; similarity_score: 14.9920
hiring_manager: zerr; similarity_score: 14.9825
hiring_manager: roybarberuk; similarity_score: 14.9560
hiring_manager: chrisbennet; similarity_score: 14.7286
hiring_manager: greenjellybean; similarity_score: 14.6507
hiring_manager: lbo; similarity_score: 14.6279
hiring_manager: geverett; similarity_score: 14.6167
hiring_manager: milewska; similarity_score: 14.6103
hiring_manager: vaughnd; similarity_score: 14.4578
hiring_manager: nschuett; similarity_score: 14.3100
hiring_manager: kevinschumacher; similarity_score: 14.2731
hiring_manager: amac; similarity_score: 14.1951
hiring_manager: DustinCalim; similarity_score: 14.1499
hiring_manager: Blackthorn; similarity_score: 14.1372
hiring_manager: imdane; similarity_score: 14.1235
hiring_manager: manpageman; similarity_score: 14.0983
hiring_manager: jjnvdm; similarity_score: 14.0689
hiring_manager: rfergie; similarity_score: 14.0430
hiring_manager: plaban123; similarity_score: 13.9433
hiring_manager: frisco; similarity_score: 13.9423
hiring_manager: pohungc; similarity_score: 13.8461
hiring_manager: dalys; similarity_score: 13.8053
hiring_manager: burnout1540; similarity_score: 13.7748
hiring_manager: marybheine; similarity_score: 13.7659
hiring_manager: HeyLaughingBoy; similarity_score: 13.7214
hiring_manager: pwman; similarity_score: 13.6307
hiring_manager: emcienjobs; similarity_score: 13.4078
hiring_manager: pouloum78; similarity_score: 13.3333
hiring_manager: joanatello; similarity_score: 13.2686
hiring_manager: grydstedt; similarity_score: 13.2674
hiring_manager: davidw; similarity_score: 13.2530
hiring_manager: edent; similarity_score: 13.2045
hiring_manager: chrisdl; similarity_score: 13.1264
hiring_manager: sidjoshi; similarity_score: 13.0365
hiring_manager: asanwal; similarity_score: 12.9612
hiring_manager: alphast0rm; similarity_score: 12.9520
hiring_manager: Andrew_Metail; similarity_score: 12.8939
hiring_manager: reubendoetsch; similarity_score: 12.7131
hiring_manager: geori; similarity_score: 12.6796
hiring_manager: biomimic; similarity_score: 12.6021
hiring_manager: ashleyjohn; similarity_score: 12.5
hiring_manager: S4M; similarity_score: 12.4567
hiring_manager: zeiler; similarity_score: 12.4175
hiring_manager: ehberger; similarity_score: 12.3337
hiring_manager: RaizlabsTalent; similarity_score: 12.3193
hiring_manager: olivercameron; similarity_score: 12.2981
hiring_manager: Renat; similarity_score: 12.2914
hiring_manager: Symbol; similarity_score: 12.2151
hiring_manager: BillFranklin; similarity_score: 12.1212
hiring_manager: Equiet; similarity_score: 12.0707
hiring_manager: g06; similarity_score: 12.0556
hiring_manager: damon_c; similarity_score: 12.0481
hiring_manager: florianf; similarity_score: 11.9629
hiring_manager: clieu1; similarity_score: 11.9361
hiring_manager: FUSAR_rs; similarity_score: 11.9089
hiring_manager: jason_allen; similarity_score: 11.8528
hiring_manager: ivanzhao; similarity_score: 11.7908
hiring_manager: justhw; similarity_score: 11.7021
hiring_manager: salar; similarity_score: 11.6950
hiring_manager: dbuxton; similarity_score: 11.6618
hiring_manager: kiyoto; similarity_score: 11.6141
hiring_manager: eugeneiiim; similarity_score: 11.5830
hiring_manager: davidshariff; similarity_score: 11.5431
hiring_manager: spot; similarity_score: 11.5384
hiring_manager: robg; similarity_score: 11.4919
hiring_manager: cllns; similarity_score: 11.3989
hiring_manager: unclesaamm; similarity_score: 11.3924
hiring_manager: beaverfox; similarity_score: 11.3793
hiring_manager: edawerd; similarity_score: 11.3537
hiring_manager: siscia; similarity_score: 11.3445
hiring_manager: FreshPuzzles; similarity_score: 11.2582
hiring_manager: propellerhat; similarity_score: 11.2391
hiring_manager: frb; similarity_score: 11.2311
hiring_manager: kscottz; similarity_score: 11.1627
hiring_manager: grinich; similarity_score: 11.1587
hiring_manager: quinthar; similarity_score: 11.0864
hiring_manager: uwemaurer; similarity_score: 11.0516
hiring_manager: jerematasno; similarity_score: 11.0204
hiring_manager: matlock; similarity_score: 11.0139
hiring_manager: BGCivis; similarity_score: 10.9785
hiring_manager: AaronLasseigne; similarity_score: 10.9367
hiring_manager: wattenberger; similarity_score: 10.9195
hiring_manager: pashabitz; similarity_score: 10.9090
hiring_manager: rasengan; similarity_score: 10.8672
hiring_manager: clarkevans; similarity_score: 10.7932
hiring_manager: axiom; similarity_score: 10.7858
hiring_manager: zacharypinter; similarity_score: 10.7594
hiring_manager: andrewmb; similarity_score: 10.7216
hiring_manager: dannysu; similarity_score: 10.6685
hiring_manager: realdlee; similarity_score: 10.6637
hiring_manager: fourier; similarity_score: 10.5263
hiring_manager: sethbannon; similarity_score: 10.4891
hiring_manager: JayNeely; similarity_score: 10.4214
hiring_manager: mrbird; similarity_score: 10.3780
hiring_manager: atto; similarity_score: 10.3485
hiring_manager: xiongww; similarity_score: 10.3191
hiring_manager: BMarkmann; similarity_score: 10.2083
hiring_manager: Theranos; similarity_score: 10.1671
hiring_manager: yonibaciu1; similarity_score: 10.1028
hiring_manager: timanglade; similarity_score: 10.0185
hiring_manager: encore2097; similarity_score: 10.0100
hiring_manager: breckognize; similarity_score: 10.0
hiring_manager: Bahamut; similarity_score: 9.92481
hiring_manager: feverishaaron; similarity_score: 9.91253
hiring_manager: asolove; similarity_score: 9.90099
hiring_manager: mateodelnorte; similarity_score: 9.89247
hiring_manager: TheMakeA; similarity_score: 9.86436
hiring_manager: Clairesheng; similarity_score: 9.85074
hiring_manager: mburst; similarity_score: 9.83606
hiring_manager: mikebabineau; similarity_score: 9.74842
hiring_manager: biggitybones; similarity_score: 9.73607
hiring_manager: finnh; similarity_score: 9.73451
hiring_manager: papaonlegs; similarity_score: 9.69976
hiring_manager: mattnguyen; similarity_score: 9.69479
hiring_manager: vonnik; similarity_score: 9.67007
hiring_manager: fuelfive; similarity_score: 9.65406
hiring_manager: thethimble; similarity_score: 9.64523
hiring_manager: iandanforth; similarity_score: 9.63302
hiring_manager: alexose; similarity_score: 9.58811
hiring_manager: JJMalina; similarity_score: 9.58627
hiring_manager: ljlolel; similarity_score: 9.56340
hiring_manager: stockninja; similarity_score: 9.53591
hiring_manager: spooneybarger; similarity_score: 9.46236
hiring_manager: st8machine; similarity_score: 9.44558
hiring_manager: kefeizhou; similarity_score: 9.43877
hiring_manager: soundandfeury; similarity_score: 9.42543
hiring_manager: chollida1; similarity_score: 9.42148
hiring_manager: djyoo; similarity_score: 9.41558
hiring_manager: diego; similarity_score: 9.40715
hiring_manager: shedd; similarity_score: 9.37370
hiring_manager: mandoescamilla; similarity_score: 9.33940
hiring_manager: cwc22; similarity_score: 9.32090
hiring_manager: gajomi; similarity_score: 9.32038
hiring_manager: bbeck; similarity_score: 9.31928
