hiring_manager: roybarberuk; similarity_score: 28.8421
hiring_manager: carlatqueue; similarity_score: 28.7145
hiring_manager: chrisdl; similarity_score: 26.7631
hiring_manager: annalewis7; similarity_score: 26.6233
hiring_manager: yesimahuman; similarity_score: 26.4208
hiring_manager: Andrew_Metail; similarity_score: 25.3605
hiring_manager: paradox95; similarity_score: 25.2153
hiring_manager: davidw; similarity_score: 25.0626
hiring_manager: jszumski; similarity_score: 25.0196
hiring_manager: zacharypinter; similarity_score: 24.9347
hiring_manager: robg; similarity_score: 24.9206
hiring_manager: baran; similarity_score: 24.8677
hiring_manager: lsee; similarity_score: 24.6661
hiring_manager: cwc22; similarity_score: 24.5197
hiring_manager: rasengan; similarity_score: 24.3265
hiring_manager: alphast0rm; similarity_score: 24.0219
hiring_manager: lesleyann25; similarity_score: 23.9019
hiring_manager: escherize; similarity_score: 23.8485
hiring_manager: FUSAR_rs; similarity_score: 23.8297
hiring_manager: peter_mcrae; similarity_score: 23.6120
hiring_manager: ehberger; similarity_score: 23.5616
hiring_manager: johnnyg; similarity_score: 23.5208
hiring_manager: imdane; similarity_score: 23.3741
hiring_manager: jpwagner; similarity_score: 23.3068
hiring_manager: brettz; similarity_score: 23.1082
hiring_manager: realdlee; similarity_score: 23.0834
hiring_manager: yonibaciu1; similarity_score: 23.0366
hiring_manager: FreshPuzzles; similarity_score: 23.0352
hiring_manager: Renat; similarity_score: 23.0277
hiring_manager: matlock; similarity_score: 22.9461
hiring_manager: jjnvdm; similarity_score: 22.8172
hiring_manager: jack7890; similarity_score: 22.7934
hiring_manager: twymer; similarity_score: 22.7392
hiring_manager: salar; similarity_score: 22.7300
hiring_manager: squirrel; similarity_score: 22.7272
hiring_manager: spooneybarger; similarity_score: 22.7045
hiring_manager: JayNeely; similarity_score: 22.6319
hiring_manager: lbo; similarity_score: 22.6201
hiring_manager: artursapek; similarity_score: 22.4753
hiring_manager: choult; similarity_score: 22.4646
hiring_manager: Mynar; similarity_score: 22.3803
hiring_manager: espinchi; similarity_score: 22.3294
hiring_manager: jonbischke; similarity_score: 22.2950
hiring_manager: Equiet; similarity_score: 22.2945
hiring_manager: k1w1; similarity_score: 22.2459
hiring_manager: clieu1; similarity_score: 22.2352
hiring_manager: RaizlabsTalent; similarity_score: 22.1099
hiring_manager: florianf; similarity_score: 21.9931
hiring_manager: jhmaddox; similarity_score: 21.9097
hiring_manager: PhantomPhreak; similarity_score: 21.8978
hiring_manager: drpancake; similarity_score: 21.7028
hiring_manager: pwman; similarity_score: 21.5813
hiring_manager: amac; similarity_score: 21.5704
hiring_manager: myom; similarity_score: 21.5698
hiring_manager: mburst; similarity_score: 21.4906
hiring_manager: breckognize; similarity_score: 21.4601
hiring_manager: geverett; similarity_score: 21.2303
hiring_manager: mrw34; similarity_score: 21.2160
hiring_manager: frabcus; similarity_score: 21.0409
hiring_manager: nichol4s; similarity_score: 20.9167
hiring_manager: BMarkmann; similarity_score: 20.8409
hiring_manager: statictype; similarity_score: 20.7956
hiring_manager: fuelfive; similarity_score: 20.7809
hiring_manager: edziubudzik; similarity_score: 20.7293
hiring_manager: xiongww; similarity_score: 20.6703
hiring_manager: samuelbrin; similarity_score: 20.4741
hiring_manager: gnidan; similarity_score: 20.4647
hiring_manager: sethbannon; similarity_score: 20.4353
hiring_manager: burnout1540; similarity_score: 20.1368
hiring_manager: milewska; similarity_score: 20.1357
hiring_manager: geori; similarity_score: 19.9862
hiring_manager: rprovey; similarity_score: 19.9484
hiring_manager: hglaser; similarity_score: 19.9266
hiring_manager: snowmaker; similarity_score: 19.9245
hiring_manager: alexk; similarity_score: 19.9228
hiring_manager: dbuxton; similarity_score: 19.8920
hiring_manager: swampthing; similarity_score: 19.8635
hiring_manager: kevinschumacher; similarity_score: 19.8146
hiring_manager: stockninja; similarity_score: 19.7718
hiring_manager: toreriklinnerud; similarity_score: 19.7444
hiring_manager: gajomi; similarity_score: 19.7226
hiring_manager: nschuett; similarity_score: 19.6948
hiring_manager: spot; similarity_score: 19.6564
hiring_manager: meaydinli; similarity_score: 19.3584
hiring_manager: dwiel; similarity_score: 19.3333
hiring_manager: d0m; similarity_score: 19.2972
hiring_manager: hgrttn; similarity_score: 19.2722
hiring_manager: Bahamut; similarity_score: 19.2664
hiring_manager: asolove; similarity_score: 19.1811
hiring_manager: marybheine; similarity_score: 19.1439
hiring_manager: 7parkdata; similarity_score: 19.1242
hiring_manager: encore2097; similarity_score: 19.1002
hiring_manager: yavery; similarity_score: 19.0954
hiring_manager: DustinCalim; similarity_score: 19.0946
hiring_manager: feverishaaron; similarity_score: 19.0775
hiring_manager: jlees; similarity_score: 19.0427
hiring_manager: kenrose; similarity_score: 18.9803
hiring_manager: antoviaque; similarity_score: 18.9781
hiring_manager: wiredd; similarity_score: 18.9624
hiring_manager: ashleyjohn; similarity_score: 18.9125
hiring_manager: frisco; similarity_score: 18.7272
hiring_manager: Gyffindor; similarity_score: 18.6931
hiring_manager: kiyoto; similarity_score: 18.6915
hiring_manager: manpageman; similarity_score: 18.6788
hiring_manager: ninetax; similarity_score: 18.6348
hiring_manager: noobuser123; similarity_score: 18.6341
hiring_manager: sam; similarity_score: 18.5860
hiring_manager: brendan_gill; similarity_score: 18.5812
hiring_manager: hafabnew; similarity_score: 18.5567
hiring_manager: soundandfeury; similarity_score: 18.4920
hiring_manager: propellerhat; similarity_score: 18.4782
hiring_manager: Symbol; similarity_score: 18.4615
hiring_manager: darrenkopp; similarity_score: 18.4357
hiring_manager: jdjdjd; similarity_score: 18.3890
hiring_manager: YelpEngineering; similarity_score: 18.2869
hiring_manager: biggitybones; similarity_score: 18.2463
hiring_manager: thethimble; similarity_score: 18.2432
hiring_manager: darrennix; similarity_score: 18.1626
hiring_manager: kdavari; similarity_score: 18.1431
hiring_manager: ssk2; similarity_score: 18.1366
hiring_manager: eric_romo; similarity_score: 18.0808
hiring_manager: zeiler; similarity_score: 18.0076
hiring_manager: grydstedt; similarity_score: 17.9228
hiring_manager: mmelin; similarity_score: 17.8929
hiring_manager: mandoescamilla; similarity_score: 17.8853
hiring_manager: djyoo; similarity_score: 17.8638
hiring_manager: arobbins; similarity_score: 17.8403
hiring_manager: wattenberger; similarity_score: 17.8353
hiring_manager: bgriggs1; similarity_score: 17.8337
hiring_manager: fortpoint; similarity_score: 17.7919
hiring_manager: rfergie; similarity_score: 17.7237
