hiring_manager: spot; similarity_score: 0.22976
hiring_manager: 7parkdata; similarity_score: 0.22466
hiring_manager: lesleyann25; similarity_score: 0.22292
hiring_manager: imdane; similarity_score: 0.21464
hiring_manager: jsaxton86; similarity_score: 0.21461
hiring_manager: timanglade; similarity_score: 0.21199
hiring_manager: 7Figures2Commas; similarity_score: 0.21108
hiring_manager: chrisdl; similarity_score: 0.21088
hiring_manager: kefeizhou; similarity_score: 0.20671
hiring_manager: amac; similarity_score: 0.20408
hiring_manager: untilHellbanned; similarity_score: 0.20399
hiring_manager: burnout1540; similarity_score: 0.20391
hiring_manager: yavery; similarity_score: 0.20303
hiring_manager: geverett; similarity_score: 0.19999
hiring_manager: lbo; similarity_score: 0.19949
hiring_manager: edziubudzik; similarity_score: 0.19893
hiring_manager: pohungc; similarity_score: 0.19843
hiring_manager: TheMakeA; similarity_score: 0.19806
hiring_manager: pwman; similarity_score: 0.19756
hiring_manager: rfergie; similarity_score: 0.19753
hiring_manager: emcienjobs; similarity_score: 0.19749
hiring_manager: frb; similarity_score: 0.19659
hiring_manager: justhw; similarity_score: 0.19599
hiring_manager: lsee; similarity_score: 0.19572
hiring_manager: damon_c; similarity_score: 0.19399
hiring_manager: biomimic; similarity_score: 0.19347
hiring_manager: carlatqueue; similarity_score: 0.19324
hiring_manager: ivanzhao; similarity_score: 0.19322
hiring_manager: ehberger; similarity_score: 0.19302
hiring_manager: beaverfox; similarity_score: 0.19199
hiring_manager: marybheine; similarity_score: 0.19193
hiring_manager: darrennix; similarity_score: 0.19148
hiring_manager: drpancake; similarity_score: 0.19136
hiring_manager: mmelin; similarity_score: 0.19020
hiring_manager: murtza; similarity_score: 0.18897
hiring_manager: frisco; similarity_score: 0.18850
hiring_manager: yegg; similarity_score: 0.18819
hiring_manager: greenjellybean; similarity_score: 0.18799
hiring_manager: brettz; similarity_score: 0.18617
hiring_manager: realdlee; similarity_score: 0.18582
hiring_manager: spooneybarger; similarity_score: 0.18574
hiring_manager: morgante; similarity_score: 0.18404
hiring_manager: rememberlenny; similarity_score: 0.18400
hiring_manager: uwemaurer; similarity_score: 0.18344
hiring_manager: eric_romo; similarity_score: 0.18288
hiring_manager: dbuxton; similarity_score: 0.18196
hiring_manager: statictype; similarity_score: 0.18140
hiring_manager: manpageman; similarity_score: 0.18000
hiring_manager: annalewis7; similarity_score: 0.17989
hiring_manager: artursapek; similarity_score: 0.17944
hiring_manager: samingrassia; similarity_score: 0.17940
hiring_manager: Renat; similarity_score: 0.17924
hiring_manager: roybarberuk; similarity_score: 0.17894
hiring_manager: doxcf434; similarity_score: 0.17845
hiring_manager: jszumski; similarity_score: 0.17821
hiring_manager: robg; similarity_score: 0.17815
hiring_manager: wattenberger; similarity_score: 0.17774
hiring_manager: kevinschumacher; similarity_score: 0.17750
hiring_manager: Equiet; similarity_score: 0.17730
hiring_manager: andrewmb; similarity_score: 0.17626
hiring_manager: BillFranklin; similarity_score: 0.17600
hiring_manager: gajomi; similarity_score: 0.17535
hiring_manager: encore2097; similarity_score: 0.17441
hiring_manager: wdewind; similarity_score: 0.17251
hiring_manager: fchollet; similarity_score: 0.17213
hiring_manager: jdjdjd; similarity_score: 0.17204
hiring_manager: toreriklinnerud; similarity_score: 0.17200
hiring_manager: DustinCalim; similarity_score: 0.17090
hiring_manager: jorgecastillo; similarity_score: 0.17064
hiring_manager: johnnyg; similarity_score: 0.17045
hiring_manager: dmritard96; similarity_score: 0.17031
hiring_manager: maramaemartin; similarity_score: 0.17005
hiring_manager: paradox95; similarity_score: 0.16993
hiring_manager: dangoldin; similarity_score: 0.16959
hiring_manager: mattnguyen; similarity_score: 0.16875
hiring_manager: matlock; similarity_score: 0.16867
hiring_manager: tobinharris; similarity_score: 0.16800
hiring_manager: rasengan; similarity_score: 0.16785
hiring_manager: pouloum78; similarity_score: 0.16730
hiring_manager: cjbarber; similarity_score: 0.16644
hiring_manager: FUSAR_rs; similarity_score: 0.16510
hiring_manager: kiyoto; similarity_score: 0.16478
hiring_manager: Symbol; similarity_score: 0.16428
hiring_manager: edent; similarity_score: 0.16400
