hiring_manager: jsaxton86; similarity_score: 28.1767
hiring_manager: morgante; similarity_score: 26.6153
hiring_manager: mandoescamilla; similarity_score: 25.1121
hiring_manager: peter_mcrae; similarity_score: 24.4665
hiring_manager: chollida1; similarity_score: 23.9561
hiring_manager: jdjdjd; similarity_score: 23.8645
hiring_manager: carlatqueue; similarity_score: 23.7087
hiring_manager: wdewind; similarity_score: 23.3307
hiring_manager: gsiener; similarity_score: 22.8915
hiring_manager: johnnyg; similarity_score: 22.7810
hiring_manager: chrisdl; similarity_score: 22.7731
hiring_manager: biomimic; similarity_score: 22.7436
hiring_manager: fuelfive; similarity_score: 22.6238
hiring_manager: stockninja; similarity_score: 22.4780
hiring_manager: finnh; similarity_score: 22.3896
hiring_manager: paradox95; similarity_score: 22.0634
hiring_manager: edent; similarity_score: 22.0183
hiring_manager: burnout1540; similarity_score: 21.8687
hiring_manager: roybarberuk; similarity_score: 21.8649
hiring_manager: edziubudzik; similarity_score: 21.8536
hiring_manager: alphast0rm; similarity_score: 21.8055
hiring_manager: espinchi; similarity_score: 21.7573
hiring_manager: realdlee; similarity_score: 21.5384
hiring_manager: chrisduesing; similarity_score: 21.5017
hiring_manager: eugeneiiim; similarity_score: 21.4958
hiring_manager: marybheine; similarity_score: 21.4511
hiring_manager: swampthing; similarity_score: 21.3658
hiring_manager: ndonnellan; similarity_score: 21.3408
hiring_manager: ehberger; similarity_score: 21.3358
hiring_manager: encore2097; similarity_score: 21.28
hiring_manager: fchollet; similarity_score: 21.1446
hiring_manager: spot; similarity_score: 21.1445
hiring_manager: bowmanb; similarity_score: 20.9708
hiring_manager: artursapek; similarity_score: 20.9230
hiring_manager: asolove; similarity_score: 20.8380
hiring_manager: drpancake; similarity_score: 20.8298
hiring_manager: eric_romo; similarity_score: 20.5787
hiring_manager: amac; similarity_score: 20.5769
hiring_manager: doxcf434; similarity_score: 20.5291
hiring_manager: greenjellybean; similarity_score: 20.5250
hiring_manager: brettz; similarity_score: 20.4620
hiring_manager: mmelin; similarity_score: 20.3562
hiring_manager: Mynar; similarity_score: 20.2746
hiring_manager: yesimahuman; similarity_score: 20.2479
hiring_manager: DustinCalim; similarity_score: 20.2003
hiring_manager: kefeizhou; similarity_score: 20.0966
hiring_manager: murtza; similarity_score: 19.8961
hiring_manager: untilHellbanned; similarity_score: 19.8843
hiring_manager: frb; similarity_score: 19.8810
