hiring_manager: joanatello; similarity_score: 0.26460
hiring_manager: 7Figures2Commas; similarity_score: 0.26070
hiring_manager: TheMakeA; similarity_score: 0.25884
hiring_manager: Symbol; similarity_score: 0.25714
hiring_manager: peter_mcrae; similarity_score: 0.25461
hiring_manager: axiom; similarity_score: 0.25416
hiring_manager: mrw34; similarity_score: 0.25312
hiring_manager: chollida1; similarity_score: 0.25215
hiring_manager: zacharypinter; similarity_score: 0.24798
hiring_manager: ehberger; similarity_score: 0.24767
hiring_manager: bowmanb; similarity_score: 0.24749
hiring_manager: escherize; similarity_score: 0.24673
hiring_manager: mateodelnorte; similarity_score: 0.24649
hiring_manager: sidjoshi; similarity_score: 0.24622
hiring_manager: propellerhat; similarity_score: 0.24621
hiring_manager: davidw; similarity_score: 0.24597
hiring_manager: kefeizhou; similarity_score: 0.24581
hiring_manager: edawerd; similarity_score: 0.24465
hiring_manager: hgrttn; similarity_score: 0.24420
hiring_manager: FreshPuzzles; similarity_score: 0.24414
hiring_manager: squirrel; similarity_score: 0.24402
hiring_manager: amac; similarity_score: 0.24394
hiring_manager: matlock; similarity_score: 0.24364
hiring_manager: ssk2; similarity_score: 0.24338
hiring_manager: dannysu; similarity_score: 0.24281
hiring_manager: loganfrederick; similarity_score: 0.24127
hiring_manager: espinchi; similarity_score: 0.24045
hiring_manager: JayNeely; similarity_score: 0.24008
hiring_manager: baran; similarity_score: 0.23966
hiring_manager: mburst; similarity_score: 0.23915
hiring_manager: FUSAR_rs; similarity_score: 0.23892
hiring_manager: Mynar; similarity_score: 0.23836
hiring_manager: yavery; similarity_score: 0.23836
hiring_manager: dangoldin; similarity_score: 0.23830
hiring_manager: knes; similarity_score: 0.23790
hiring_manager: maramaemartin; similarity_score: 0.23730
hiring_manager: jpwagner; similarity_score: 0.23716
hiring_manager: jhmaddox; similarity_score: 0.23704
hiring_manager: yonibaciu1; similarity_score: 0.23660
hiring_manager: jorgecastillo; similarity_score: 0.23649
hiring_manager: jjnvdm; similarity_score: 0.23646
hiring_manager: RaizlabsTalent; similarity_score: 0.23638
hiring_manager: mrbird; similarity_score: 0.23529
hiring_manager: vtuulos; similarity_score: 0.23489
hiring_manager: salar; similarity_score: 0.23480
hiring_manager: chrisdl; similarity_score: 0.23463
hiring_manager: Renat; similarity_score: 0.23450
hiring_manager: Theranos; similarity_score: 0.23387
hiring_manager: sciurus; similarity_score: 0.23378
hiring_manager: alphast0rm; similarity_score: 0.23358
hiring_manager: alexose; similarity_score: 0.23339
hiring_manager: nichol4s; similarity_score: 0.23303
hiring_manager: DLarsen; similarity_score: 0.23286
hiring_manager: fuelfive; similarity_score: 0.23286
hiring_manager: nkoren; similarity_score: 0.23251
hiring_manager: cjbarber; similarity_score: 0.23249
hiring_manager: jason_allen; similarity_score: 0.23249
hiring_manager: chrisduesing; similarity_score: 0.23243
