hiring_manager: untilHellbanned; similarity_score: 28.8135
hiring_manager: mmelin; similarity_score: 26.7175
hiring_manager: joshcanhelp; similarity_score: 25.1461
hiring_manager: 7parkdata; similarity_score: 25.1057
hiring_manager: milewska; similarity_score: 24.4725
hiring_manager: dalys; similarity_score: 24.1134
hiring_manager: frabcus; similarity_score: 23.9350
hiring_manager: g06; similarity_score: 23.7623
hiring_manager: rfergie; similarity_score: 23.4817
hiring_manager: doxcf434; similarity_score: 23.1884
hiring_manager: edziubudzik; similarity_score: 23.1012
hiring_manager: samuelbrin; similarity_score: 22.7799
hiring_manager: siscia; similarity_score: 22.7544
hiring_manager: amac; similarity_score: 22.5656
hiring_manager: nathanwdavis; similarity_score: 22.4358
hiring_manager: plaban123; similarity_score: 22.0820
hiring_manager: kefeizhou; similarity_score: 21.1838
hiring_manager: timanglade; similarity_score: 21.1586
hiring_manager: samingrassia; similarity_score: 21.0035
hiring_manager: hrehhf; similarity_score: 20.7951
hiring_manager: roybarberuk; similarity_score: 20.7407
hiring_manager: Cyranix; similarity_score: 20.6718
hiring_manager: yegg; similarity_score: 20.3262
hiring_manager: reubendoetsch; similarity_score: 20.2783
hiring_manager: morgante; similarity_score: 20.0661
hiring_manager: kbar13; similarity_score: 20.0527
hiring_manager: BillFranklin; similarity_score: 20.0
hiring_manager: emcienjobs; similarity_score: 19.8606
hiring_manager: drpancake; similarity_score: 19.7969
hiring_manager: chrisbennet; similarity_score: 19.2513
hiring_manager: wdewind; similarity_score: 19.1208
hiring_manager: Renat; similarity_score: 19.0571
hiring_manager: annalewis7; similarity_score: 18.9781
hiring_manager: Caleb_Smith; similarity_score: 18.9542
hiring_manager: frisco; similarity_score: 18.8405
hiring_manager: S4M; similarity_score: 18.8073
hiring_manager: dbuxton; similarity_score: 18.7147
hiring_manager: jpwagner; similarity_score: 18.7144
hiring_manager: unclesaamm; similarity_score: 18.6746
hiring_manager: darrennix; similarity_score: 18.6219
hiring_manager: justhw; similarity_score: 18.4834
hiring_manager: rasengan; similarity_score: 18.4049
hiring_manager: Equiet; similarity_score: 18.0708
hiring_manager: marybheine; similarity_score: 18.0571
hiring_manager: carlatqueue; similarity_score: 18.0203
hiring_manager: matlock; similarity_score: 17.9640
hiring_manager: lesleyann25; similarity_score: 17.9261
hiring_manager: fourier; similarity_score: 17.8343
hiring_manager: FUSAR_rs; similarity_score: 17.8
hiring_manager: peter_mcrae; similarity_score: 17.7690
hiring_manager: greenjellybean; similarity_score: 17.5280
hiring_manager: quinthar; similarity_score: 17.4757
hiring_manager: jack7890; similarity_score: 17.4372
hiring_manager: eric_romo; similarity_score: 17.3913
hiring_manager: beaverfox; similarity_score: 17.3515
hiring_manager: statictype; similarity_score: 17.2413
hiring_manager: papaonlegs; similarity_score: 17.1821
hiring_manager: fapjacks; similarity_score: 17.1617
hiring_manager: cllns; similarity_score: 16.9336
hiring_manager: Mynar; similarity_score: 16.9014
hiring_manager: DustinCalim; similarity_score: 16.8944
hiring_manager: finnh; similarity_score: 16.7910
hiring_manager: ninetax; similarity_score: 16.7641
hiring_manager: yavery; similarity_score: 16.7521
hiring_manager: mrbird; similarity_score: 16.7357
hiring_manager: lsee; similarity_score: 16.6859
hiring_manager: florianf; similarity_score: 16.6507
hiring_manager: wattenberger; similarity_score: 16.6297
hiring_manager: myom; similarity_score: 16.5210
hiring_manager: HeyLaughingBoy; similarity_score: 16.5191
hiring_manager: escherize; similarity_score: 16.5106
hiring_manager: FreshPuzzles; similarity_score: 16.5103
hiring_manager: robg; similarity_score: 16.4705
hiring_manager: imdane; similarity_score: 16.2826
hiring_manager: bowmanb; similarity_score: 16.1458
hiring_manager: kevinschumacher; similarity_score: 16.1127
hiring_manager: spooneybarger; similarity_score: 15.9898
hiring_manager: rememberlenny; similarity_score: 15.9250
hiring_manager: grydstedt; similarity_score: 15.8431
hiring_manager: OpenDrapery; similarity_score: 15.8415
hiring_manager: chrisdl; similarity_score: 15.8045
hiring_manager: kiyoto; similarity_score: 15.7894
hiring_manager: 7Figures2Commas; similarity_score: 15.7728
hiring_manager: jorgecastillo; similarity_score: 15.6934
hiring_manager: stockninja; similarity_score: 15.6533
hiring_manager: espinchi; similarity_score: 15.5619
hiring_manager: xasos; similarity_score: 15.4385
hiring_manager: TheMakeA; similarity_score: 15.2466
hiring_manager: khwang; similarity_score: 15.2380
hiring_manager: jdjdjd; similarity_score: 15.2317
hiring_manager: vaughnd; similarity_score: 15.1685
hiring_manager: jjnvdm; similarity_score: 15.1376
hiring_manager: nschuett; similarity_score: 15.1162
hiring_manager: sid6376; similarity_score: 15.0326
hiring_manager: murtza; similarity_score: 14.9410
hiring_manager: fractalsea; similarity_score: 14.9350
hiring_manager: soundandfeury; similarity_score: 14.9253
hiring_manager: sidjoshi; similarity_score: 14.8745
hiring_manager: biomimic; similarity_score: 14.8251
hiring_manager: miles932; similarity_score: 14.6739
hiring_manager: toreriklinnerud; similarity_score: 14.6341
hiring_manager: johnnyg; similarity_score: 14.5985
hiring_manager: artursapek; similarity_score: 14.5534
hiring_manager: zeiler; similarity_score: 14.5411
hiring_manager: manpageman; similarity_score: 14.5299
hiring_manager: RaizlabsTalent; similarity_score: 14.4927
hiring_manager: BGCivis; similarity_score: 14.4719
hiring_manager: clarkevans; similarity_score: 14.4699
hiring_manager: salar; similarity_score: 14.3920
hiring_manager: zerr; similarity_score: 14.3518
hiring_manager: hgrttn; similarity_score: 14.3389
hiring_manager: fuckthepoor; similarity_score: 14.3283
hiring_manager: iandanforth; similarity_score: 14.2857
hiring_manager: joanatello; similarity_score: 14.2595
hiring_manager: davidshariff; similarity_score: 14.2287
hiring_manager: jhmaddox; similarity_score: 14.1865
hiring_manager: fuelfive; similarity_score: 14.1689
hiring_manager: jsaxton86; similarity_score: 14.1414
hiring_manager: encore2097; similarity_score: 14.0023
hiring_manager: retrodict; similarity_score: 13.9966
hiring_manager: pashabitz; similarity_score: 13.9868
hiring_manager: choult; similarity_score: 13.9372
hiring_manager: georgespencer; similarity_score: 13.8357
hiring_manager: ssk2; similarity_score: 13.8333
hiring_manager: vtuulos; similarity_score: 13.8
hiring_manager: baran; similarity_score: 13.7931
hiring_manager: zacharypinter; similarity_score: 13.7254
hiring_manager: metaobject; similarity_score: 13.6986
hiring_manager: DLarsen; similarity_score: 13.6363
hiring_manager: maramaemartin; similarity_score: 13.6145
hiring_manager: astralship; similarity_score: 13.5934
hiring_manager: alexose; similarity_score: 13.5922
hiring_manager: edawerd; similarity_score: 13.5593
hiring_manager: nkoren; similarity_score: 13.5433
hiring_manager: uwemaurer; similarity_score: 13.4693
hiring_manager: dangoldin; similarity_score: 13.4185
hiring_manager: knes; similarity_score: 13.2492
hiring_manager: vonnik; similarity_score: 13.2425
hiring_manager: axiom; similarity_score: 12.9757
hiring_manager: grinich; similarity_score: 12.9629
hiring_manager: ivanzhao; similarity_score: 12.9458
hiring_manager: ndonnellan; similarity_score: 12.8695
hiring_manager: infer; similarity_score: 12.8474
hiring_manager: pandamcbonesaw; similarity_score: 12.8117
hiring_manager: clieu1; similarity_score: 12.7790
hiring_manager: frb; similarity_score: 12.7551
hiring_manager: dmritard96; similarity_score: 12.7374
hiring_manager: cwc22; similarity_score: 12.6470
hiring_manager: kscottz; similarity_score: 12.6192
hiring_manager: darrenkopp; similarity_score: 12.6086
hiring_manager: chollida1; similarity_score: 12.5468
hiring_manager: dwiel; similarity_score: 12.5443
hiring_manager: omarish; similarity_score: 12.5100
hiring_manager: sciurus; similarity_score: 12.4444
hiring_manager: yesimahuman; similarity_score: 12.3136
hiring_manager: siddarthd2919; similarity_score: 12.2866
hiring_manager: fchollet; similarity_score: 12.2543
hiring_manager: mandoescamilla; similarity_score: 12.1437
hiring_manager: cjbarber; similarity_score: 12.0553
hiring_manager: bbeck; similarity_score: 12.0378
hiring_manager: alphast0rm; similarity_score: 12.0343
hiring_manager: twymer; similarity_score: 12.0189
hiring_manager: freyil; similarity_score: 12.0026
hiring_manager: asanwal; similarity_score: 11.9711
hiring_manager: Synergyse; similarity_score: 11.8858
hiring_manager: sinak; similarity_score: 11.8740
hiring_manager: jszumski; similarity_score: 11.8466
hiring_manager: hafabnew; similarity_score: 11.7647
