hiring_manager: thethimble; similarity_score: 24.7262
hiring_manager: propellerhat; similarity_score: 24.0993
hiring_manager: mikebabineau; similarity_score: 23.5093
hiring_manager: freyil; similarity_score: 23.2420
hiring_manager: axiom; similarity_score: 22.8817
hiring_manager: mpdaugherty; similarity_score: 22.4676
hiring_manager: hafabnew; similarity_score: 22.4527
hiring_manager: Synergyse; similarity_score: 22.4440
hiring_manager: scottaj2; similarity_score: 22.3719
hiring_manager: wiredd; similarity_score: 22.3316
hiring_manager: sciurus; similarity_score: 22.3104
hiring_manager: uwemaurer; similarity_score: 22.2429
hiring_manager: rfergie; similarity_score: 22.1989
hiring_manager: jszumski; similarity_score: 22.0689
hiring_manager: mateodelnorte; similarity_score: 22.0478
hiring_manager: Symbol; similarity_score: 22.0338
hiring_manager: chrisduesing; similarity_score: 22.0205
hiring_manager: sethbannon; similarity_score: 21.9933
hiring_manager: hgrttn; similarity_score: 21.8457
hiring_manager: jakestein; similarity_score: 21.8413
hiring_manager: sqs; similarity_score: 21.7815
hiring_manager: 7parkdata; similarity_score: 21.6187
hiring_manager: jonbischke; similarity_score: 21.3545
hiring_manager: salar; similarity_score: 21.2783
hiring_manager: dh0913; similarity_score: 21.2091
hiring_manager: squirrel; similarity_score: 21.1143
hiring_manager: clieu1; similarity_score: 21.0696
hiring_manager: tqn; similarity_score: 20.9701
hiring_manager: edawerd; similarity_score: 20.9023
hiring_manager: damon_c; similarity_score: 20.8939
hiring_manager: JJMalina; similarity_score: 20.7377
hiring_manager: frb; similarity_score: 20.6861
hiring_manager: infer; similarity_score: 20.6599
hiring_manager: annalewis7; similarity_score: 20.5926
hiring_manager: fuelfive; similarity_score: 20.5286
hiring_manager: asolove; similarity_score: 20.4563
hiring_manager: nkoren; similarity_score: 20.4182
hiring_manager: noobuser123; similarity_score: 20.4040
hiring_manager: bgriggs1; similarity_score: 20.3352
hiring_manager: klochner; similarity_score: 20.2794
hiring_manager: eugeneiiim; similarity_score: 20.2247
hiring_manager: johnnyg; similarity_score: 20.1127
hiring_manager: mattnguyen; similarity_score: 19.9906
hiring_manager: Andrew_Metail; similarity_score: 19.9752
hiring_manager: antoviaque; similarity_score: 19.8834
hiring_manager: dmritard96; similarity_score: 19.8643
hiring_manager: artursapek; similarity_score: 19.8458
hiring_manager: swampthing; similarity_score: 19.7821
hiring_manager: kenrose; similarity_score: 19.7810
hiring_manager: nichol4s; similarity_score: 19.7573
hiring_manager: matlock; similarity_score: 19.7144
hiring_manager: lsee; similarity_score: 19.6850
hiring_manager: diego; similarity_score: 19.6219
hiring_manager: brandonthejames; similarity_score: 19.5585
hiring_manager: davidw; similarity_score: 19.5329
hiring_manager: oms1005; similarity_score: 19.5321
hiring_manager: martinshen; similarity_score: 19.4871
hiring_manager: pohungc; similarity_score: 19.4798
hiring_manager: twymer; similarity_score: 19.4716
hiring_manager: andrewmb; similarity_score: 19.4291
hiring_manager: wattenberger; similarity_score: 19.3143
hiring_manager: atto; similarity_score: 19.2806
hiring_manager: pensieri; similarity_score: 19.2802
hiring_manager: brettz; similarity_score: 19.2152
hiring_manager: xiongww; similarity_score: 19.1262
hiring_manager: bjelkeman-again; similarity_score: 19.0623
hiring_manager: conorgil145; similarity_score: 19.0171
hiring_manager: darrenkopp; similarity_score: 18.9878
hiring_manager: alphast0rm; similarity_score: 18.9530
hiring_manager: burnout1540; similarity_score: 18.8552
hiring_manager: Mynar; similarity_score: 18.8286
hiring_manager: BMarkmann; similarity_score: 18.7309
hiring_manager: morgante; similarity_score: 18.6897
hiring_manager: statictype; similarity_score: 18.6595
hiring_manager: FUSAR_rs; similarity_score: 18.6260
hiring_manager: gsiener; similarity_score: 18.6010
hiring_manager: tharshan09; similarity_score: 18.5901
hiring_manager: _br; similarity_score: 18.5630
hiring_manager: joanatello; similarity_score: 18.4710
hiring_manager: stockninja; similarity_score: 18.4615
hiring_manager: brendan_gill; similarity_score: 18.4103
hiring_manager: tianyicui; similarity_score: 18.3538
hiring_manager: jpwagner; similarity_score: 18.3486
hiring_manager: cairo140; similarity_score: 18.2895
hiring_manager: capkutay; similarity_score: 18.1863
hiring_manager: clarkevans; similarity_score: 18.1676
hiring_manager: kevinschumacher; similarity_score: 18.1313
hiring_manager: dwiel; similarity_score: 18.1182
hiring_manager: marybheine; similarity_score: 18.1017
hiring_manager: cjbarber; similarity_score: 18.0651
hiring_manager: rasengan; similarity_score: 18.0443
hiring_manager: pandamcbonesaw; similarity_score: 18.0020
hiring_manager: gsastry; similarity_score: 17.9604
hiring_manager: azth; similarity_score: 17.9403
hiring_manager: ben336; similarity_score: 17.9276
hiring_manager: ivanzhao; similarity_score: 17.8608
hiring_manager: biggitybones; similarity_score: 17.7891
hiring_manager: eric_romo; similarity_score: 17.7227
hiring_manager: ILIKEPONIES; similarity_score: 17.7023
hiring_manager: encore2097; similarity_score: 17.6702
hiring_manager: spooneybarger; similarity_score: 17.5779
hiring_manager: meaydinli; similarity_score: 17.5078
hiring_manager: fchollet; similarity_score: 17.5024
hiring_manager: BWStearns; similarity_score: 17.4918
