hiring_manager: chrisduesing; similarity_score: 0.25945
hiring_manager: brettz; similarity_score: 0.25717
hiring_manager: Equiet; similarity_score: 0.25593
hiring_manager: yesimahuman; similarity_score: 0.25232
hiring_manager: jsaxton86; similarity_score: 0.25218
hiring_manager: twymer; similarity_score: 0.25203
hiring_manager: asolove; similarity_score: 0.25134
hiring_manager: mmelin; similarity_score: 0.25093
hiring_manager: mpdaugherty; similarity_score: 0.25041
hiring_manager: amac; similarity_score: 0.24968
hiring_manager: breckognize; similarity_score: 0.24934
hiring_manager: jasoncrawford; similarity_score: 0.24878
hiring_manager: spooneybarger; similarity_score: 0.24843
hiring_manager: stockninja; similarity_score: 0.24829
hiring_manager: ndonnellan; similarity_score: 0.24761
hiring_manager: gsiener; similarity_score: 0.24617
hiring_manager: robg; similarity_score: 0.24594
hiring_manager: jakestein; similarity_score: 0.24548
hiring_manager: eugeneiiim; similarity_score: 0.24546
hiring_manager: dwiel; similarity_score: 0.24529
hiring_manager: tharshan09; similarity_score: 0.24489
hiring_manager: soundandfeury; similarity_score: 0.24479
hiring_manager: carlatqueue; similarity_score: 0.24469
hiring_manager: clarkevans; similarity_score: 0.24452
hiring_manager: thethimble; similarity_score: 0.24449
hiring_manager: biggitybones; similarity_score: 0.24388
hiring_manager: d0m; similarity_score: 0.24379
hiring_manager: meaydinli; similarity_score: 0.24370
hiring_manager: sam; similarity_score: 0.24334
hiring_manager: DLarsen; similarity_score: 0.24319
hiring_manager: bgriggs1; similarity_score: 0.24318
hiring_manager: hafabnew; similarity_score: 0.24235
hiring_manager: jdjdjd; similarity_score: 0.24219
hiring_manager: mandoescamilla; similarity_score: 0.24208
hiring_manager: sciurus; similarity_score: 0.24200
hiring_manager: jlees; similarity_score: 0.24178
hiring_manager: olivercameron; similarity_score: 0.24154
hiring_manager: propellerhat; similarity_score: 0.24117
hiring_manager: santiycr; similarity_score: 0.24103
hiring_manager: rasengan; similarity_score: 0.24094
hiring_manager: alexose; similarity_score: 0.24077
hiring_manager: nkoren; similarity_score: 0.24039
hiring_manager: TheMakeA; similarity_score: 0.23970
hiring_manager: zeiler; similarity_score: 0.23963
hiring_manager: djyoo; similarity_score: 0.23914
hiring_manager: damon_c; similarity_score: 0.23845
hiring_manager: astralship; similarity_score: 0.23838
hiring_manager: jonbischke; similarity_score: 0.23809
hiring_manager: georgespencer; similarity_score: 0.23768
hiring_manager: jkoc; similarity_score: 0.23755
hiring_manager: annalewis7; similarity_score: 0.23720
hiring_manager: kenrose; similarity_score: 0.23708
hiring_manager: dannysu; similarity_score: 0.23686
hiring_manager: scottaj2; similarity_score: 0.23639
hiring_manager: statictype; similarity_score: 0.23595
hiring_manager: klochner; similarity_score: 0.23589
hiring_manager: rvivek; similarity_score: 0.23579
hiring_manager: Clairesheng; similarity_score: 0.23496
hiring_manager: knes; similarity_score: 0.23494
hiring_manager: yonibaciu1; similarity_score: 0.23470
hiring_manager: squirrel; similarity_score: 0.23468
hiring_manager: clieu1; similarity_score: 0.23467
hiring_manager: mateodelnorte; similarity_score: 0.23446
hiring_manager: jason_allen; similarity_score: 0.23436
hiring_manager: dh0913; similarity_score: 0.23393
hiring_manager: mikebabineau; similarity_score: 0.23362
hiring_manager: jjnvdm; similarity_score: 0.23361
hiring_manager: wdewind; similarity_score: 0.23345
hiring_manager: infer; similarity_score: 0.23313
hiring_manager: jpwagner; similarity_score: 0.23305
