hiring_manager: darrennix; similarity_score: 27.5334
hiring_manager: lesleyann25; similarity_score: 26.3063
hiring_manager: edziubudzik; similarity_score: 24.9190
hiring_manager: zerr; similarity_score: 23.9234
hiring_manager: ninetax; similarity_score: 23.6472
hiring_manager: untilHellbanned; similarity_score: 23.5807
hiring_manager: BillFranklin; similarity_score: 23.5294
hiring_manager: joshcanhelp; similarity_score: 23.1707
hiring_manager: roybarberuk; similarity_score: 22.0532
hiring_manager: manpageman; similarity_score: 22.0264
hiring_manager: frb; similarity_score: 21.8181
hiring_manager: brettz; similarity_score: 21.3664
hiring_manager: milewska; similarity_score: 21.3043
hiring_manager: finnh; similarity_score: 21.0727
hiring_manager: curiousDog; similarity_score: 21.0169
hiring_manager: rememberlenny; similarity_score: 20.8232
hiring_manager: imdane; similarity_score: 20.7221
hiring_manager: feverishaaron; similarity_score: 20.3773
hiring_manager: biomimic; similarity_score: 20.2567
hiring_manager: geverett; similarity_score: 20.2469
hiring_manager: amac; similarity_score: 20.2211
hiring_manager: yavery; similarity_score: 19.9649
hiring_manager: dalys; similarity_score: 19.5599
hiring_manager: beaverfox; similarity_score: 19.3396
hiring_manager: frabcus; similarity_score: 19.2066
hiring_manager: kevinschumacher; similarity_score: 18.7946
hiring_manager: 7Figures2Commas; similarity_score: 18.7096
hiring_manager: hrehhf; similarity_score: 18.5303
hiring_manager: Renat; similarity_score: 18.5147
hiring_manager: kefeizhou; similarity_score: 18.4713
hiring_manager: eric_romo; similarity_score: 18.1600
hiring_manager: murtza; similarity_score: 17.8905
hiring_manager: johnnyg; similarity_score: 17.7777
hiring_manager: marybheine; similarity_score: 17.6538
hiring_manager: spot; similarity_score: 17.6282
hiring_manager: unclesaamm; similarity_score: 17.6100
hiring_manager: kbar13; similarity_score: 17.5342
hiring_manager: cllns; similarity_score: 17.4940
hiring_manager: maramaemartin; similarity_score: 17.4927
hiring_manager: fuckthepoor; similarity_score: 17.4454
hiring_manager: mmelin; similarity_score: 17.3575
hiring_manager: wdewind; similarity_score: 17.1875
hiring_manager: rasengan; similarity_score: 16.9787
hiring_manager: morgante; similarity_score: 16.7973
hiring_manager: grinich; similarity_score: 16.7741
