hiring_manager: lsee; similarity_score: 26.5442
hiring_manager: fuelfive; similarity_score: 24.9303
hiring_manager: brettz; similarity_score: 24.4367
hiring_manager: biomimic; similarity_score: 24.1904
hiring_manager: emcienjobs; similarity_score: 23.7623
hiring_manager: spooneybarger; similarity_score: 23.5084
hiring_manager: pohungc; similarity_score: 22.4049
hiring_manager: untilHellbanned; similarity_score: 22.0570
hiring_manager: ninetax; similarity_score: 21.9339
hiring_manager: Renat; similarity_score: 21.9219
hiring_manager: 7parkdata; similarity_score: 21.8390
hiring_manager: kefeizhou; similarity_score: 21.6990
hiring_manager: ehberger; similarity_score: 21.1764
hiring_manager: burnout1540; similarity_score: 20.8860
hiring_manager: jsaxton86; similarity_score: 20.8171
hiring_manager: Andrew_Metail; similarity_score: 20.6419
hiring_manager: jdjdjd; similarity_score: 20.4673
hiring_manager: beaverfox; similarity_score: 20.4398
hiring_manager: ssk2; similarity_score: 20.1954
hiring_manager: jason_allen; similarity_score: 20.1083
hiring_manager: yesimahuman; similarity_score: 19.9148
hiring_manager: annalewis7; similarity_score: 19.8789
hiring_manager: reubendoetsch; similarity_score: 19.8090
hiring_manager: chrisdl; similarity_score: 19.7866
hiring_manager: FUSAR_rs; similarity_score: 19.6254
hiring_manager: Symbol; similarity_score: 19.3798
hiring_manager: nkoren; similarity_score: 19.3146
hiring_manager: rasengan; similarity_score: 19.3043
hiring_manager: ugh123; similarity_score: 19.2682
hiring_manager: realdlee; similarity_score: 19.2446
hiring_manager: wattenberger; similarity_score: 19.2400
hiring_manager: statictype; similarity_score: 19.2046
hiring_manager: pwman; similarity_score: 19.2
hiring_manager: twymer; similarity_score: 19.1629
hiring_manager: peter_mcrae; similarity_score: 19.1394
hiring_manager: hafabnew; similarity_score: 19.0884
hiring_manager: alphast0rm; similarity_score: 18.9580
hiring_manager: amac; similarity_score: 18.9409
hiring_manager: jszumski; similarity_score: 18.8963
hiring_manager: dmritard96; similarity_score: 18.6991
hiring_manager: feverishaaron; similarity_score: 18.6575
hiring_manager: sidjoshi; similarity_score: 18.6078
hiring_manager: damon_c; similarity_score: 18.5728
hiring_manager: knes; similarity_score: 18.4653
hiring_manager: rfergie; similarity_score: 18.4014
hiring_manager: rememberlenny; similarity_score: 18.3727
hiring_manager: ndonnellan; similarity_score: 18.3495
hiring_manager: jorgecastillo; similarity_score: 18.3465
hiring_manager: frabcus; similarity_score: 18.1159
hiring_manager: Theranos; similarity_score: 18.0478
hiring_manager: gajomi; similarity_score: 17.9885
hiring_manager: TheMakeA; similarity_score: 17.9282
hiring_manager: dbuxton; similarity_score: 17.8396
hiring_manager: matlock; similarity_score: 17.8010
hiring_manager: vonnik; similarity_score: 17.7344
hiring_manager: frb; similarity_score: 17.6943
hiring_manager: EmilLondon; similarity_score: 17.6241
hiring_manager: escherize; similarity_score: 17.6158
hiring_manager: mattnguyen; similarity_score: 17.5975
hiring_manager: zacharypinter; similarity_score: 17.5703
hiring_manager: DustinCalim; similarity_score: 17.5438
hiring_manager: JayNeely; similarity_score: 17.4899
hiring_manager: finnh; similarity_score: 17.4512
hiring_manager: imdane; similarity_score: 17.4442
hiring_manager: yavery; similarity_score: 17.3913
hiring_manager: lesleyann25; similarity_score: 17.2566
hiring_manager: sciurus; similarity_score: 17.2106
hiring_manager: iis_zephyr; similarity_score: 17.1881
hiring_manager: sridevizarin; similarity_score: 17.1179
hiring_manager: wdewind; similarity_score: 17.0281
hiring_manager: nichol4s; similarity_score: 16.9606
hiring_manager: propellerhat; similarity_score: 16.9512
hiring_manager: Blackthorn; similarity_score: 16.9139
hiring_manager: zeiler; similarity_score: 16.8902
hiring_manager: PhantomPhreak; similarity_score: 16.7643
hiring_manager: edent; similarity_score: 16.7076
hiring_manager: fchollet; similarity_score: 16.6666
hiring_manager: meaydinli; similarity_score: 16.5687
hiring_manager: toreriklinnerud; similarity_score: 16.5394
hiring_manager: ivanzhao; similarity_score: 16.4835
hiring_manager: zerr; similarity_score: 16.4276
hiring_manager: mpdaugherty; similarity_score: 16.4062
hiring_manager: nschuett; similarity_score: 16.3862
hiring_manager: darrenkopp; similarity_score: 16.3265
hiring_manager: milewska; similarity_score: 16.3164
hiring_manager: Equiet; similarity_score: 16.2911
hiring_manager: clieu1; similarity_score: 16.2790
hiring_manager: kevinschumacher; similarity_score: 16.2650
hiring_manager: murtza; similarity_score: 16.2112
hiring_manager: brendan_gill; similarity_score: 16.2085
hiring_manager: drpancake; similarity_score: 16.2065
hiring_manager: noobuser123; similarity_score: 16.1985
hiring_manager: sethbannon; similarity_score: 16.1764
hiring_manager: tqn; similarity_score: 16.0965
hiring_manager: georgespencer; similarity_score: 16.0908
hiring_manager: choult; similarity_score: 16.0485
hiring_manager: retrodict; similarity_score: 16.0420
hiring_manager: marybheine; similarity_score: 16.0330
hiring_manager: eugeneiiim; similarity_score: 16.0274
hiring_manager: sinak; similarity_score: 16.0211
hiring_manager: xiongww; similarity_score: 16.0154
hiring_manager: azinman2; similarity_score: 15.8565
hiring_manager: dangoldin; similarity_score: 15.8555
hiring_manager: k1w1; similarity_score: 15.8139
hiring_manager: sqs; similarity_score: 15.7937
hiring_manager: morgante; similarity_score: 15.7809
hiring_manager: grydstedt; similarity_score: 15.7763
hiring_manager: stockninja; similarity_score: 15.7417
hiring_manager: gsiener; similarity_score: 15.7239
hiring_manager: mandoescamilla; similarity_score: 15.7003
hiring_manager: robg; similarity_score: 15.6962
hiring_manager: BGCivis; similarity_score: 15.6233
hiring_manager: asolove; similarity_score: 15.5737
hiring_manager: edziubudzik; similarity_score: 15.5118
hiring_manager: mburst; similarity_score: 15.5048
hiring_manager: 7Figures2Commas; similarity_score: 15.4798
hiring_manager: samuelbrin; similarity_score: 15.4747
hiring_manager: breckognize; similarity_score: 15.4645
hiring_manager: mmelin; similarity_score: 15.3434
hiring_manager: hgrttn; similarity_score: 15.3300
hiring_manager: rvivek; similarity_score: 15.3276
hiring_manager: justhw; similarity_score: 15.3236
hiring_manager: hglaser; similarity_score: 15.2466
hiring_manager: lightningstorm; similarity_score: 15.2388
hiring_manager: g06; similarity_score: 15.2380
hiring_manager: frisco; similarity_score: 15.2195
hiring_manager: vtuulos; similarity_score: 15.1310
hiring_manager: encore2097; similarity_score: 15.1006
hiring_manager: kscottz; similarity_score: 15.0765
hiring_manager: jonbischke; similarity_score: 15.0485
hiring_manager: timanglade; similarity_score: 15.0273
hiring_manager: spot; similarity_score: 15.0051
hiring_manager: mikebabineau; similarity_score: 14.9452
hiring_manager: bowmanb; similarity_score: 14.9293
hiring_manager: darrennix; similarity_score: 14.9082
hiring_manager: doxcf434; similarity_score: 14.8816
hiring_manager: meritt; similarity_score: 14.8734
hiring_manager: alexk; similarity_score: 14.8548
hiring_manager: yegg; similarity_score: 14.8409
hiring_manager: fortpoint; similarity_score: 14.8323
hiring_manager: djyoo; similarity_score: 14.7966
hiring_manager: andrewmb; similarity_score: 14.7893
hiring_manager: carlatqueue; similarity_score: 14.7818
hiring_manager: Clairesheng; similarity_score: 14.6164
hiring_manager: RaizlabsTalent; similarity_score: 14.5888
hiring_manager: Synergyse; similarity_score: 14.5631
hiring_manager: kiyoto; similarity_score: 14.5574
hiring_manager: edawerd; similarity_score: 14.4992
hiring_manager: jennifer_scroll; similarity_score: 14.3544
hiring_manager: jpwagner; similarity_score: 14.3222
hiring_manager: uwemaurer; similarity_score: 14.2965
hiring_manager: davidshariff; similarity_score: 14.2468
hiring_manager: geori; similarity_score: 14.2441
hiring_manager: snowmaker; similarity_score: 14.2135
hiring_manager: dannysu; similarity_score: 14.1338
hiring_manager: thethimble; similarity_score: 14.1211
hiring_manager: _br; similarity_score: 14.0307
hiring_manager: jjnvdm; similarity_score: 13.9987
hiring_manager: roybarberuk; similarity_score: 13.9428
hiring_manager: jack7890; similarity_score: 13.9194
hiring_manager: jlees; similarity_score: 13.9186
hiring_manager: jarmitage; similarity_score: 13.9102
hiring_manager: joanatello; similarity_score: 13.8558
hiring_manager: jhdavids8; similarity_score: 13.8203
hiring_manager: jakestein; similarity_score: 13.8188
hiring_manager: geverett; similarity_score: 13.7931
hiring_manager: cllns; similarity_score: 13.7305
hiring_manager: loganfrederick; similarity_score: 13.6848
hiring_manager: klochner; similarity_score: 13.6445
hiring_manager: nathanwdavis; similarity_score: 13.6012
hiring_manager: Mynar; similarity_score: 13.5961
hiring_manager: axiom; similarity_score: 13.5479
hiring_manager: oms1005; similarity_score: 13.5344
hiring_manager: paradox95; similarity_score: 13.4775
hiring_manager: yonibaciu1; similarity_score: 13.4706
hiring_manager: omarish; similarity_score: 13.4007
hiring_manager: fractalsea; similarity_score: 13.3748
hiring_manager: pouloum78; similarity_score: 13.3645
hiring_manager: swampthing; similarity_score: 13.3437
hiring_manager: diego; similarity_score: 13.3393
hiring_manager: antoviaque; similarity_score: 13.3096
hiring_manager: paulc; similarity_score: 13.2780
hiring_manager: ben336; similarity_score: 13.2665
hiring_manager: kenrose; similarity_score: 13.2214
hiring_manager: plaban123; similarity_score: 13.1901
hiring_manager: florianf; similarity_score: 13.1884
hiring_manager: myom; similarity_score: 13.1744
hiring_manager: jnenglish; similarity_score: 13.1637
hiring_manager: eric_romo; similarity_score: 13.1534
hiring_manager: pandamcbonesaw; similarity_score: 13.1491
hiring_manager: arobbins; similarity_score: 13.1393
hiring_manager: chollida1; similarity_score: 13.1147
hiring_manager: ejdyksen; similarity_score: 13.1081
hiring_manager: kcrossisec; similarity_score: 13.1049
hiring_manager: baran; similarity_score: 13.0828
hiring_manager: martinshen; similarity_score: 13.0592
hiring_manager: kdavari; similarity_score: 13.0239
hiring_manager: olivercameron; similarity_score: 12.9783
hiring_manager: manpageman; similarity_score: 12.9514
hiring_manager: clarkevans; similarity_score: 12.9404
hiring_manager: alexose; similarity_score: 12.9032
hiring_manager: scottaj2; similarity_score: 12.7460
hiring_manager: ashleyjohn; similarity_score: 12.7396
hiring_manager: salar; similarity_score: 12.6943
hiring_manager: brandonthejames; similarity_score: 12.6853
hiring_manager: cairo140; similarity_score: 12.6245
hiring_manager: chrchr; similarity_score: 12.5894
hiring_manager: gsastry; similarity_score: 12.5662
hiring_manager: ncbk12; similarity_score: 12.4467
hiring_manager: dwiel; similarity_score: 12.4444
hiring_manager: bootstraponline; similarity_score: 12.3924
hiring_manager: espinchi; similarity_score: 12.3546
hiring_manager: mrbird; similarity_score: 12.3216
hiring_manager: mbesto; similarity_score: 12.1076
hiring_manager: hrehhf; similarity_score: 12.0845
hiring_manager: st8machine; similarity_score: 12.0588
hiring_manager: astralship; similarity_score: 12.0582
hiring_manager: conorgil145; similarity_score: 11.9901
hiring_manager: tianyicui; similarity_score: 11.9811
hiring_manager: bjelkeman-again; similarity_score: 11.9601
hiring_manager: soundandfeury; similarity_score: 11.9402
hiring_manager: artursapek; similarity_score: 11.9162
hiring_manager: sam; similarity_score: 11.9118
hiring_manager: BillFranklin; similarity_score: 11.9083
hiring_manager: daveoflynn; similarity_score: 11.7889
hiring_manager: YelpEngineering; similarity_score: 11.7067
hiring_manager: jasonparekh; similarity_score: 11.6979
hiring_manager: mrw34; similarity_score: 11.6927
hiring_manager: greattypo; similarity_score: 11.6199
hiring_manager: vaughnd; similarity_score: 11.5774
hiring_manager: alexthornton; similarity_score: 11.5137
hiring_manager: zaidos; similarity_score: 11.4924
hiring_manager: fheisler; similarity_score: 11.4754
hiring_manager: blakeweb; similarity_score: 11.4379
hiring_manager: conversica; similarity_score: 11.4311
hiring_manager: mapdock; similarity_score: 11.4062
hiring_manager: khwang; similarity_score: 11.3846
hiring_manager: infer; similarity_score: 11.3613
hiring_manager: matm; similarity_score: 11.3369
hiring_manager: svec; similarity_score: 11.2254
hiring_manager: kbar13; similarity_score: 11.2044
hiring_manager: cjbarber; similarity_score: 11.1358
hiring_manager: johnnyg; similarity_score: 11.1282
hiring_manager: dalys; similarity_score: 11.0817
hiring_manager: bambootalent; similarity_score: 11.0396
hiring_manager: woodhull; similarity_score: 11.0355
hiring_manager: kmano8; similarity_score: 11.0242
hiring_manager: wiredd; similarity_score: 10.9862
hiring_manager: nikhaldi; similarity_score: 10.9856
hiring_manager: jasoncrawford; similarity_score: 10.9649
hiring_manager: capkutay; similarity_score: 10.9310
hiring_manager: the_gigi; similarity_score: 10.9064
hiring_manager: shedd; similarity_score: 10.9062
hiring_manager: asanwal; similarity_score: 10.8895
hiring_manager: maramaemartin; similarity_score: 10.8853
hiring_manager: smikhanov; similarity_score: 10.8761
hiring_manager: dh0913; similarity_score: 10.8527
hiring_manager: sparkman55; similarity_score: 10.8178
hiring_manager: greenjellybean; similarity_score: 10.7692
hiring_manager: cwhiten; similarity_score: 10.7666
hiring_manager: waseems; similarity_score: 10.7658
hiring_manager: bitcrusher; similarity_score: 10.7573
hiring_manager: rprovey; similarity_score: 10.6619
hiring_manager: cwc22; similarity_score: 10.6194
hiring_manager: JJMalina; similarity_score: 10.5747
hiring_manager: curiousDog; similarity_score: 10.5590
hiring_manager: pashabitz; similarity_score: 10.5577
hiring_manager: papaonlegs; similarity_score: 10.5431
hiring_manager: miles932; similarity_score: 10.5263
hiring_manager: fourier; similarity_score: 10.4776
hiring_manager: siscia; similarity_score: 10.4633
hiring_manager: atto; similarity_score: 10.4527
hiring_manager: FreshPuzzles; similarity_score: 10.4211
hiring_manager: d0m; similarity_score: 10.3608
hiring_manager: BWStearns; similarity_score: 10.3404
hiring_manager: azth; similarity_score: 10.2941
hiring_manager: spang; similarity_score: 10.2766
hiring_manager: bsnyder; similarity_score: 10.1778
hiring_manager: joshcanhelp; similarity_score: 10.0443
hiring_manager: fapjacks; similarity_score: 10.0313
hiring_manager: chrisduesing; similarity_score: 10.0
hiring_manager: sid6376; similarity_score: 9.98439
hiring_manager: minichate; similarity_score: 9.95597
hiring_manager: samingrassia; similarity_score: 9.89932
hiring_manager: chrisbennet; similarity_score: 9.87306
hiring_manager: ogennadi; similarity_score: 9.82567
hiring_manager: Bahamut; similarity_score: 9.68921
hiring_manager: makmanalp; similarity_score: 9.64668
hiring_manager: courtneypowell; similarity_score: 9.55184
hiring_manager: bgriggs1; similarity_score: 9.52879
hiring_manager: gnidan; similarity_score: 9.40170
hiring_manager: JangoSteve; similarity_score: 9.36798
hiring_manager: OpenDrapery; similarity_score: 9.09090
hiring_manager: BMarkmann; similarity_score: 9.08660
hiring_manager: AaronLasseigne; similarity_score: 8.97212
hiring_manager: biggitybones; similarity_score: 8.95679
hiring_manager: Cyranix; similarity_score: 8.86426
hiring_manager: jerematasno; similarity_score: 8.78477
hiring_manager: andrewforee; similarity_score: 8.75966
