hiring_manager: asanwal; similarity_score: 27.2799
hiring_manager: eric_romo; similarity_score: 25.7217
hiring_manager: k1w1; similarity_score: 24.9694
hiring_manager: jsaxton86; similarity_score: 24.5685
hiring_manager: escherize; similarity_score: 24.5398
hiring_manager: wdewind; similarity_score: 24.2928
hiring_manager: toreriklinnerud; similarity_score: 24.2261
hiring_manager: doxcf434; similarity_score: 24.1706
hiring_manager: finnh; similarity_score: 24.1545
hiring_manager: pouloum78; similarity_score: 23.9506
hiring_manager: propellerhat; similarity_score: 23.9271
hiring_manager: FUSAR_rs; similarity_score: 23.8390
hiring_manager: burnout1540; similarity_score: 23.6464
hiring_manager: realdlee; similarity_score: 23.3863
hiring_manager: knes; similarity_score: 23.0769
hiring_manager: frabcus; similarity_score: 22.9299
hiring_manager: Equiet; similarity_score: 22.6822
hiring_manager: kiyoto; similarity_score: 22.6415
hiring_manager: pohungc; similarity_score: 22.5806
hiring_manager: choult; similarity_score: 22.3611
hiring_manager: kevinschumacher; similarity_score: 22.1011
hiring_manager: imdane; similarity_score: 22.0572
hiring_manager: DustinCalim; similarity_score: 21.8778
hiring_manager: artursapek; similarity_score: 21.8515
hiring_manager: sam; similarity_score: 21.7603
hiring_manager: spot; similarity_score: 21.7204
hiring_manager: edziubudzik; similarity_score: 21.6450
hiring_manager: vtuulos; similarity_score: 21.2074
hiring_manager: mmelin; similarity_score: 21.1502
hiring_manager: maramaemartin; similarity_score: 21.1235
hiring_manager: edent; similarity_score: 21.0116
hiring_manager: Renat; similarity_score: 20.9464
hiring_manager: hgrttn; similarity_score: 20.9370
hiring_manager: joanatello; similarity_score: 20.9235
hiring_manager: paradox95; similarity_score: 20.8800
hiring_manager: morgante; similarity_score: 20.8507
hiring_manager: chrisdl; similarity_score: 20.8502
hiring_manager: spooneybarger; similarity_score: 20.7407
hiring_manager: ninetax; similarity_score: 20.6211
hiring_manager: kefeizhou; similarity_score: 20.5567
hiring_manager: carlatqueue; similarity_score: 20.5555
hiring_manager: nichol4s; similarity_score: 20.5450
hiring_manager: darrenkopp; similarity_score: 20.4545
hiring_manager: zerr; similarity_score: 20.4419
hiring_manager: dalys; similarity_score: 20.4195
hiring_manager: samingrassia; similarity_score: 20.3655
hiring_manager: EmilLondon; similarity_score: 20.3345
hiring_manager: ehberger; similarity_score: 20.2661
hiring_manager: JayNeely; similarity_score: 20.2061
hiring_manager: retrodict; similarity_score: 20.1623
hiring_manager: milewska; similarity_score: 20.1044
hiring_manager: wattenberger; similarity_score: 20.1005
hiring_manager: jack7890; similarity_score: 20.0190
hiring_manager: drpancake; similarity_score: 20.0
hiring_manager: eugeneiiim; similarity_score: 19.9530
hiring_manager: nikhaldi; similarity_score: 19.9475
hiring_manager: encore2097; similarity_score: 19.8433
hiring_manager: ugh123; similarity_score: 19.8198
hiring_manager: dannysu; similarity_score: 19.7943
hiring_manager: 7parkdata; similarity_score: 19.7802
hiring_manager: mrw34; similarity_score: 19.7478
hiring_manager: squirrel; similarity_score: 19.7350
hiring_manager: johnnyg; similarity_score: 19.6642
hiring_manager: zacharypinter; similarity_score: 19.6605
hiring_manager: rprovey; similarity_score: 19.6557
hiring_manager: omarish; similarity_score: 19.6231
hiring_manager: jszumski; similarity_score: 19.6010
hiring_manager: greenjellybean; similarity_score: 19.5386
hiring_manager: uwemaurer; similarity_score: 19.4968
hiring_manager: 7Figures2Commas; similarity_score: 19.4384
hiring_manager: rfergie; similarity_score: 19.3610
hiring_manager: TheMakeA; similarity_score: 19.3548
hiring_manager: mpdaugherty; similarity_score: 19.2109
hiring_manager: yavery; similarity_score: 19.1562
hiring_manager: feverishaaron; similarity_score: 19.1387
hiring_manager: lesleyann25; similarity_score: 19.0476
hiring_manager: dbuxton; similarity_score: 18.9991
hiring_manager: loganfrederick; similarity_score: 18.8387
hiring_manager: davidw; similarity_score: 18.8092
hiring_manager: biggitybones; similarity_score: 18.7601
hiring_manager: brettz; similarity_score: 18.7218
hiring_manager: rememberlenny; similarity_score: 18.6369
hiring_manager: pwman; similarity_score: 18.5997
hiring_manager: chollida1; similarity_score: 18.5294
hiring_manager: cwc22; similarity_score: 18.2808
hiring_manager: breckognize; similarity_score: 18.2248
hiring_manager: wiredd; similarity_score: 18.2168
hiring_manager: mikebabineau; similarity_score: 18.1729
hiring_manager: arach; similarity_score: 18.1523
hiring_manager: bowmanb; similarity_score: 18.1440
hiring_manager: annalewis7; similarity_score: 18.1328
hiring_manager: S4M; similarity_score: 18.1318
hiring_manager: soundandfeury; similarity_score: 18.1283
hiring_manager: Symbol; similarity_score: 18.1234
hiring_manager: matlock; similarity_score: 18.0834
hiring_manager: dwiel; similarity_score: 18.0625
hiring_manager: jdjdjd; similarity_score: 18.0300
hiring_manager: d0m; similarity_score: 18.0298
hiring_manager: Gyffindor; similarity_score: 18.0
hiring_manager: baran; similarity_score: 17.9340
hiring_manager: ivanzhao; similarity_score: 17.9218
hiring_manager: PhantomPhreak; similarity_score: 17.9194
hiring_manager: st8machine; similarity_score: 17.8963
hiring_manager: dmritard96; similarity_score: 17.8601
hiring_manager: beaverfox; similarity_score: 17.8082
hiring_manager: untilHellbanned; similarity_score: 17.8010
hiring_manager: roybarberuk; similarity_score: 17.7884
hiring_manager: reubendoetsch; similarity_score: 17.6100
hiring_manager: gsiener; similarity_score: 17.3913
hiring_manager: florianf; similarity_score: 17.3522
hiring_manager: hafabnew; similarity_score: 17.3435
hiring_manager: Mynar; similarity_score: 17.2268
hiring_manager: lightningstorm; similarity_score: 17.1868
hiring_manager: mburst; similarity_score: 17.1581
hiring_manager: ljlolel; similarity_score: 17.1156
hiring_manager: thethimble; similarity_score: 16.9907
hiring_manager: jontonsoup; similarity_score: 16.9794
hiring_manager: hseikaly; similarity_score: 16.8473
hiring_manager: jpwagner; similarity_score: 16.8310
hiring_manager: yonibaciu1; similarity_score: 16.7350
hiring_manager: jasoncrawford; similarity_score: 16.7321
hiring_manager: noobuser123; similarity_score: 16.7224
hiring_manager: diego; similarity_score: 16.7047
hiring_manager: mateodelnorte; similarity_score: 16.6990
hiring_manager: murtza; similarity_score: 16.6824
hiring_manager: waseems; similarity_score: 16.6815
hiring_manager: darrennix; similarity_score: 16.6465
hiring_manager: myom; similarity_score: 16.6344
hiring_manager: dangoldin; similarity_score: 16.5718
hiring_manager: paulc; similarity_score: 16.4970
hiring_manager: pashabitz; similarity_score: 16.4885
hiring_manager: kdavari; similarity_score: 16.3959
hiring_manager: yegg; similarity_score: 16.3452
hiring_manager: lsee; similarity_score: 16.2770
hiring_manager: davidshariff; similarity_score: 16.2583
hiring_manager: fchollet; similarity_score: 16.2489
hiring_manager: peter_mcrae; similarity_score: 16.2452
hiring_manager: jonbischke; similarity_score: 16.1626
hiring_manager: joshcanhelp; similarity_score: 16.0883
hiring_manager: geverett; similarity_score: 16.0337
hiring_manager: Theranos; similarity_score: 16.0151
hiring_manager: sqs; similarity_score: 15.9933
