hiring_manager: deepsearch; similarity_score: 0.98039
hiring_manager: namelezz; similarity_score: 0.98038
hiring_manager: bohnej; similarity_score: 0.96153
hiring_manager: papaonlegs; similarity_score: 0.96153
hiring_manager: zacharycohn; similarity_score: 0.94338
hiring_manager: bostonpete; similarity_score: 0.92592
hiring_manager: xasos; similarity_score: 0.92592
hiring_manager: siddarthd2919; similarity_score: 0.92591
hiring_manager: BillFranklin; similarity_score: 0.90908
hiring_manager: ogennadi; similarity_score: 0.89285
hiring_manager: neftaly; similarity_score: 0.89285
hiring_manager: OpenDrapery; similarity_score: 0.89284
hiring_manager: zerr; similarity_score: 0.87719
hiring_manager: joshcanhelp; similarity_score: 0.87719
hiring_manager: plaban123; similarity_score: 0.87719
hiring_manager: fractalsea; similarity_score: 0.87719
hiring_manager: metaobject; similarity_score: 0.87718
hiring_manager: fourier; similarity_score: 0.87718
hiring_manager: ljlolel; similarity_score: 0.87718
hiring_manager: fapjacks; similarity_score: 0.86206
hiring_manager: JusticeEX_; similarity_score: 0.86206
hiring_manager: nathanwdavis; similarity_score: 0.86206
hiring_manager: Caleb_Smith; similarity_score: 0.84745
hiring_manager: khwang; similarity_score: 0.84745
hiring_manager: sid6376; similarity_score: 0.84745
hiring_manager: quinthar; similarity_score: 0.84744
hiring_manager: curiousDog; similarity_score: 0.84744
hiring_manager: grinich; similarity_score: 0.84744
hiring_manager: smikhanov; similarity_score: 0.83333
hiring_manager: fuckthepoor; similarity_score: 0.83332
hiring_manager: siscia; similarity_score: 0.83332
hiring_manager: bkovacev; similarity_score: 0.81967
hiring_manager: hrehhf; similarity_score: 0.80644
hiring_manager: _gordee; similarity_score: 0.80644
hiring_manager: unclesaamm; similarity_score: 0.79365
hiring_manager: st8machine; similarity_score: 0.79364
hiring_manager: rrpadhy; similarity_score: 0.79364
hiring_manager: HeyLaughingBoy; similarity_score: 0.78124
hiring_manager: jerematasno; similarity_score: 0.78124
hiring_manager: kbar13; similarity_score: 0.78124
hiring_manager: Blackthorn; similarity_score: 0.76922
hiring_manager: Cyranix; similarity_score: 0.76922
hiring_manager: chrisbennet; similarity_score: 0.76922
hiring_manager: emcienjobs; similarity_score: 0.76922
hiring_manager: vaughnd; similarity_score: 0.76922
hiring_manager: maxlawrie; similarity_score: 0.76922
hiring_manager: tobinharris; similarity_score: 0.76922
hiring_manager: petrosagg; similarity_score: 0.75757
hiring_manager: rememberlenny; similarity_score: 0.74626
hiring_manager: miles932; similarity_score: 0.74626
hiring_manager: Hario; similarity_score: 0.74625
hiring_manager: timanglade; similarity_score: 0.73529
hiring_manager: geverett; similarity_score: 0.73529
