hiring_manager: peter_mcrae; similarity_score: 0.25329
hiring_manager: dmritard96; similarity_score: 0.24531
hiring_manager: morgante; similarity_score: 0.23926
hiring_manager: propellerhat; similarity_score: 0.23915
hiring_manager: kdavari; similarity_score: 0.23860
hiring_manager: Renat; similarity_score: 0.23584
hiring_manager: fuelfive; similarity_score: 0.23522
hiring_manager: roybarberuk; similarity_score: 0.23347
hiring_manager: FreshPuzzles; similarity_score: 0.23304
hiring_manager: Symbol; similarity_score: 0.23285
hiring_manager: geori; similarity_score: 0.23282
hiring_manager: jszumski; similarity_score: 0.23267
hiring_manager: chollida1; similarity_score: 0.23247
hiring_manager: dangoldin; similarity_score: 0.23245
hiring_manager: FUSAR_rs; similarity_score: 0.23221
hiring_manager: bowmanb; similarity_score: 0.23188
hiring_manager: espinchi; similarity_score: 0.23155
hiring_manager: edawerd; similarity_score: 0.23128
hiring_manager: dbuxton; similarity_score: 0.23101
hiring_manager: asolove; similarity_score: 0.23076
hiring_manager: wdewind; similarity_score: 0.23053
hiring_manager: uwemaurer; similarity_score: 0.23034
hiring_manager: hgrttn; similarity_score: 0.22832
hiring_manager: asanwal; similarity_score: 0.22829
hiring_manager: nichol4s; similarity_score: 0.22737
hiring_manager: jdjdjd; similarity_score: 0.22734
hiring_manager: feverishaaron; similarity_score: 0.22727
hiring_manager: zacharypinter; similarity_score: 0.22722
hiring_manager: paradox95; similarity_score: 0.22712
hiring_manager: axiom; similarity_score: 0.22641
hiring_manager: loganfrederick; similarity_score: 0.22632
hiring_manager: johnnyg; similarity_score: 0.22585
hiring_manager: nkoren; similarity_score: 0.22561
hiring_manager: artursapek; similarity_score: 0.22546
hiring_manager: florianf; similarity_score: 0.22531
hiring_manager: TheMakeA; similarity_score: 0.22520
hiring_manager: brettz; similarity_score: 0.22517
hiring_manager: baran; similarity_score: 0.22432
hiring_manager: escherize; similarity_score: 0.22391
hiring_manager: mrw34; similarity_score: 0.22360
hiring_manager: mateodelnorte; similarity_score: 0.22344
hiring_manager: mburst; similarity_score: 0.22328
hiring_manager: finnh; similarity_score: 0.22314
hiring_manager: vtuulos; similarity_score: 0.22281
hiring_manager: wattenberger; similarity_score: 0.22256
hiring_manager: JayNeely; similarity_score: 0.22246
hiring_manager: jjnvdm; similarity_score: 0.22222
hiring_manager: robg; similarity_score: 0.22184
hiring_manager: sidjoshi; similarity_score: 0.22183
hiring_manager: Mynar; similarity_score: 0.22133
hiring_manager: pouloum78; similarity_score: 0.22107
hiring_manager: alphast0rm; similarity_score: 0.22095
hiring_manager: matlock; similarity_score: 0.22088
hiring_manager: davidw; similarity_score: 0.22019
