hiring_manager: chrisdl; similarity_score: 31.6301
hiring_manager: g06; similarity_score: 28.8431
hiring_manager: TheMakeA; similarity_score: 28.6792
hiring_manager: kefeizhou; similarity_score: 27.8645
hiring_manager: ugh123; similarity_score: 27.8232
hiring_manager: jdjdjd; similarity_score: 27.7131
hiring_manager: Equiet; similarity_score: 26.4550
hiring_manager: wdewind; similarity_score: 26.2548
hiring_manager: robg; similarity_score: 25.8196
hiring_manager: edent; similarity_score: 25.7851
hiring_manager: mattnguyen; similarity_score: 25.1366
hiring_manager: frb; similarity_score: 25.0549
hiring_manager: hgrttn; similarity_score: 24.8333
hiring_manager: reubendoetsch; similarity_score: 24.8012
hiring_manager: carlatqueue; similarity_score: 24.7264
hiring_manager: lsee; similarity_score: 24.4691
hiring_manager: burnout1540; similarity_score: 24.0866
hiring_manager: finnh; similarity_score: 23.8670
hiring_manager: ninetax; similarity_score: 23.7871
hiring_manager: chrisduesing; similarity_score: 23.6083
hiring_manager: edziubudzik; similarity_score: 23.4828
hiring_manager: eric_romo; similarity_score: 23.3367
hiring_manager: jpwagner; similarity_score: 23.3210
hiring_manager: nschuett; similarity_score: 23.3160
hiring_manager: Mynar; similarity_score: 23.2963
hiring_manager: DustinCalim; similarity_score: 23.2008
hiring_manager: encore2097; similarity_score: 23.1943
hiring_manager: kdavari; similarity_score: 23.0700
hiring_manager: artursapek; similarity_score: 23.0396
hiring_manager: uwemaurer; similarity_score: 22.6039
hiring_manager: untilHellbanned; similarity_score: 22.4080
hiring_manager: 7Figures2Commas; similarity_score: 22.3684
hiring_manager: Cyranix; similarity_score: 22.2222
hiring_manager: yegg; similarity_score: 22.1018
hiring_manager: jszumski; similarity_score: 22.0871
hiring_manager: rememberlenny; similarity_score: 22.0614
hiring_manager: pouloum78; similarity_score: 22.0496
hiring_manager: milewska; similarity_score: 22.0
hiring_manager: dmritard96; similarity_score: 21.9392
hiring_manager: rasengan; similarity_score: 21.6790
hiring_manager: spooneybarger; similarity_score: 21.6630
hiring_manager: imdane; similarity_score: 21.6216
hiring_manager: wattenberger; similarity_score: 21.5953
hiring_manager: spot; similarity_score: 21.4659
hiring_manager: yavery; similarity_score: 21.3783
hiring_manager: joshcanhelp; similarity_score: 21.3675
hiring_manager: frabcus; similarity_score: 21.3247
hiring_manager: realdlee; similarity_score: 21.2624
hiring_manager: ehberger; similarity_score: 21.2083
hiring_manager: andrewmb; similarity_score: 21.1740
hiring_manager: axiom; similarity_score: 21.0608
hiring_manager: greenjellybean; similarity_score: 21.0157
hiring_manager: marybheine; similarity_score: 20.9790
hiring_manager: alphast0rm; similarity_score: 20.9718
hiring_manager: cllns; similarity_score: 20.9591
hiring_manager: feverishaaron; similarity_score: 20.8955
hiring_manager: frisco; similarity_score: 20.8333
hiring_manager: asanwal; similarity_score: 20.8219
hiring_manager: brettz; similarity_score: 20.7407
hiring_manager: grydstedt; similarity_score: 20.6995
