job_seeker: EddyShure; similarity_score: 0.98969
job_seeker: trumbitta2; similarity_score: 0.98968
job_seeker: white0ut; similarity_score: 0.90565
job_seeker: papes; similarity_score: 0.88888
job_seeker: scool; similarity_score: 0.88072
job_seeker: HemantPawar; similarity_score: 0.87271
job_seeker: knoxzin1; similarity_score: 0.86485
job_seeker: david04; similarity_score: 0.85714
job_seeker: rayalez; similarity_score: 0.85713
job_seeker: it_learnses; similarity_score: 0.84955
job_seeker: idlewan; similarity_score: 0.84955
job_seeker: sam_rad; similarity_score: 0.84955
job_seeker: developerbro; similarity_score: 0.84954
job_seeker: phish; similarity_score: 0.84210
job_seeker: colsandurz; similarity_score: 0.84209
job_seeker: csommers; similarity_score: 0.83477
job_seeker: cpursley; similarity_score: 0.82758
job_seeker: asow92; similarity_score: 0.82758
job_seeker: andrey_utkin; similarity_score: 0.82758
job_seeker: enilsen16; similarity_score: 0.82758
job_seeker: pknerd; similarity_score: 0.82757
job_seeker: notastartup; similarity_score: 0.82050
job_seeker: Stamy; similarity_score: 0.80671
job_seeker: alexandregme; similarity_score: 0.80671
job_seeker: pzz; similarity_score: 0.80671
job_seeker: csbartus; similarity_score: 0.80671
job_seeker: ddxv; similarity_score: 0.79338
job_seeker: thetwopct; similarity_score: 0.78688
job_seeker: spacial; similarity_score: 0.78688
job_seeker: dmichulke; similarity_score: 0.78687
job_seeker: albur; similarity_score: 0.78687
job_seeker: coffee667; similarity_score: 0.78687
job_seeker: shabinesh; similarity_score: 0.78687
job_seeker: aivosha; similarity_score: 0.77419
job_seeker: sfythe; similarity_score: 0.77418
job_seeker: sharmanaetor; similarity_score: 0.77418
job_seeker: joshrael; similarity_score: 0.76799
job_seeker: ashkang; similarity_score: 0.76799
job_seeker: siscia; similarity_score: 0.76190
job_seeker: Grue3; similarity_score: 0.76190
job_seeker: uladzislau; similarity_score: 0.74999
job_seeker: madarve; similarity_score: 0.74418
job_seeker: mickt; similarity_score: 0.74418
job_seeker: rockoder; similarity_score: 0.74418
job_seeker: lukeqsee; similarity_score: 0.73846
job_seeker: krapp; similarity_score: 0.73845
job_seeker: nogbit; similarity_score: 0.73845
