job_seeker: trumbitta2; similarity_score: 0.99407
job_seeker: EddyShure; similarity_score: 0.99407
job_seeker: papes; similarity_score: 0.93854
job_seeker: white0ut; similarity_score: 0.93854
job_seeker: scool; similarity_score: 0.93332
job_seeker: HemantPawar; similarity_score: 0.92817
job_seeker: knoxzin1; similarity_score: 0.92307
job_seeker: rayalez; similarity_score: 0.91803
job_seeker: it_learnses; similarity_score: 0.91803
job_seeker: phish; similarity_score: 0.91802
job_seeker: david04; similarity_score: 0.91802
job_seeker: sam_rad; similarity_score: 0.91303
job_seeker: colsandurz; similarity_score: 0.91303
job_seeker: developerbro; similarity_score: 0.91303
job_seeker: idlewan; similarity_score: 0.90810
job_seeker: csommers; similarity_score: 0.90322
job_seeker: pknerd; similarity_score: 0.90322
job_seeker: enilsen16; similarity_score: 0.90321
job_seeker: cpursley; similarity_score: 0.89839
job_seeker: notastartup; similarity_score: 0.89839
job_seeker: asow92; similarity_score: 0.89839
job_seeker: andrey_utkin; similarity_score: 0.89838
job_seeker: pzz; similarity_score: 0.89361
job_seeker: csbartus; similarity_score: 0.88888
job_seeker: dmichulke; similarity_score: 0.88888
job_seeker: Stamy; similarity_score: 0.88420
job_seeker: alexandregme; similarity_score: 0.88420
job_seeker: albur; similarity_score: 0.88420
job_seeker: coffee667; similarity_score: 0.88420
job_seeker: spacial; similarity_score: 0.87957
job_seeker: shabinesh; similarity_score: 0.87957
job_seeker: ddxv; similarity_score: 0.87499
job_seeker: sfythe; similarity_score: 0.87499
job_seeker: sharmanaetor; similarity_score: 0.87499
job_seeker: Grue3; similarity_score: 0.87046
job_seeker: thetwopct; similarity_score: 0.87046
job_seeker: joshrael; similarity_score: 0.87045
job_seeker: aivosha; similarity_score: 0.86597
job_seeker: ashkang; similarity_score: 0.86152
job_seeker: lukeqsee; similarity_score: 0.85714
job_seeker: gothy; similarity_score: 0.85279
job_seeker: 3zzy; similarity_score: 0.85279
job_seeker: uladzislau; similarity_score: 0.85278
job_seeker: siscia; similarity_score: 0.85278
job_seeker: madarve; similarity_score: 0.84848
job_seeker: rockoder; similarity_score: 0.84848
job_seeker: krapp; similarity_score: 0.84848
