job_seeker: colsandurz; similarity_score: 0.94623
job_seeker: hannes2000; similarity_score: 0.94622
job_seeker: yowmamasita; similarity_score: 0.94117
job_seeker: FiddlerClamp; similarity_score: 0.94117
job_seeker: vdimarco; similarity_score: 0.94116
job_seeker: ainiriand; similarity_score: 0.93616
job_seeker: quiqueqs; similarity_score: 0.93616
job_seeker: new_user_name; similarity_score: 0.93120
job_seeker: torkable; similarity_score: 0.93120
job_seeker: mishkovski; similarity_score: 0.93120
job_seeker: RamunasM; similarity_score: 0.92630
job_seeker: Stamy; similarity_score: 0.92146
job_seeker: gkelly; similarity_score: 0.92146
job_seeker: dsfreed; similarity_score: 0.92146
job_seeker: Hobart116; similarity_score: 0.92145
job_seeker: SerialMiller; similarity_score: 0.91666
job_seeker: saigrandhi; similarity_score: 0.91666
job_seeker: jivux; similarity_score: 0.91666
job_seeker: phish; similarity_score: 0.91666
job_seeker: wmil; similarity_score: 0.91666
job_seeker: batjaa; similarity_score: 0.91666
job_seeker: pluc; similarity_score: 0.91665
job_seeker: egorbatik; similarity_score: 0.91191
job_seeker: sauravt; similarity_score: 0.91190
job_seeker: agurha; similarity_score: 0.91190
job_seeker: pknerd; similarity_score: 0.90721
job_seeker: jbza; similarity_score: 0.90721
job_seeker: jdbiggs; similarity_score: 0.90720
job_seeker: frontsideair; similarity_score: 0.90720
job_seeker: hyunwoona; similarity_score: 0.90255
job_seeker: greenjellybean; similarity_score: 0.90255
job_seeker: jokoon; similarity_score: 0.90255
job_seeker: domedefelice; similarity_score: 0.89795
job_seeker: webjac; similarity_score: 0.89795
job_seeker: sharmanaetor; similarity_score: 0.89340
job_seeker: anujpasricha; similarity_score: 0.89339
job_seeker: speeder; similarity_score: 0.89339
job_seeker: yesyesnooo; similarity_score: 0.89339
job_seeker: harrychenca; similarity_score: 0.88888
job_seeker: JoshuaDavid; similarity_score: 0.88442
job_seeker: sfythe; similarity_score: 0.88442
job_seeker: v1ct0r; similarity_score: 0.88441
job_seeker: chad_strategic; similarity_score: 0.87999
