job_seeker: EddyShure; similarity_score: 0.99553
job_seeker: trumbitta2; similarity_score: 0.99552
job_seeker: white0ut; similarity_score: 0.95707
job_seeker: papes; similarity_score: 0.94892
job_seeker: scool; similarity_score: 0.94490
job_seeker: HemantPawar; similarity_score: 0.94091
job_seeker: rayalez; similarity_score: 0.93697
job_seeker: colsandurz; similarity_score: 0.93697
job_seeker: knoxzin1; similarity_score: 0.93697
job_seeker: it_learnses; similarity_score: 0.93697
job_seeker: david04; similarity_score: 0.93696
job_seeker: sam_rad; similarity_score: 0.93305
job_seeker: idlewan; similarity_score: 0.93304
job_seeker: enilsen16; similarity_score: 0.92915
job_seeker: developerbro; similarity_score: 0.92530
job_seeker: pknerd; similarity_score: 0.92148
job_seeker: phish; similarity_score: 0.92148
job_seeker: csommers; similarity_score: 0.92148
job_seeker: pzz; similarity_score: 0.92147
job_seeker: andrey_utkin; similarity_score: 0.92147
job_seeker: asow92; similarity_score: 0.91769
job_seeker: notastartup; similarity_score: 0.91769
job_seeker: cpursley; similarity_score: 0.91768
job_seeker: albur; similarity_score: 0.91393
job_seeker: alexandregme; similarity_score: 0.91020
job_seeker: sfythe; similarity_score: 0.91019
job_seeker: Stamy; similarity_score: 0.90650
job_seeker: dmichulke; similarity_score: 0.90650
job_seeker: coffee667; similarity_score: 0.90650
job_seeker: csbartus; similarity_score: 0.90649
job_seeker: thetwopct; similarity_score: 0.90283
job_seeker: joshrael; similarity_score: 0.90282
job_seeker: shabinesh; similarity_score: 0.90282
job_seeker: spacial; similarity_score: 0.89918
job_seeker: ddxv; similarity_score: 0.89557
job_seeker: ashkang; similarity_score: 0.89557
job_seeker: aivosha; similarity_score: 0.89557
job_seeker: Grue3; similarity_score: 0.89557
job_seeker: sharmanaetor; similarity_score: 0.89557
job_seeker: gothy; similarity_score: 0.88844
job_seeker: 3zzy; similarity_score: 0.88491
job_seeker: krapp; similarity_score: 0.88491
job_seeker: uladzislau; similarity_score: 0.88491
job_seeker: lukeqsee; similarity_score: 0.88491
job_seeker: rockoder; similarity_score: 0.88141
job_seeker: zplesivcak; similarity_score: 0.87795
job_seeker: Widow; similarity_score: 0.87795
job_seeker: nogbit; similarity_score: 0.87794
job_seeker: dancole; similarity_score: 0.87794
job_seeker: siscia; similarity_score: 0.87450
job_seeker: dmaffett; similarity_score: 0.87450
job_seeker: rahulroy; similarity_score: 0.87450
job_seeker: mateja; similarity_score: 0.87450
job_seeker: zero-g; similarity_score: 0.87450
job_seeker: madarve; similarity_score: 0.87450
job_seeker: gierach; similarity_score: 0.87109
job_seeker: mickt; similarity_score: 0.87108
job_seeker: hiby007; similarity_score: 0.86769
job_seeker: apsdehal; similarity_score: 0.86434
job_seeker: jecjec; similarity_score: 0.86100
job_seeker: dsposito; similarity_score: 0.86100
job_seeker: mdturnerphys; similarity_score: 0.86099
job_seeker: chrisbrueck; similarity_score: 0.85768
