job_seeker: EddyShure; similarity_score: 0.99037
job_seeker: trumbitta2; similarity_score: 0.99037
job_seeker: white0ut; similarity_score: 0.91149
job_seeker: papes; similarity_score: 0.89564
job_seeker: HemantPawar; similarity_score: 0.88033
job_seeker: scool; similarity_score: 0.88033
job_seeker: david04; similarity_score: 0.87288
job_seeker: knoxzin1; similarity_score: 0.87287
job_seeker: rayalez; similarity_score: 0.86554
job_seeker: it_learnses; similarity_score: 0.86553
job_seeker: colsandurz; similarity_score: 0.85832
job_seeker: sam_rad; similarity_score: 0.85832
job_seeker: idlewan; similarity_score: 0.85832
job_seeker: developerbro; similarity_score: 0.85123
job_seeker: phish; similarity_score: 0.84425
job_seeker: pknerd; similarity_score: 0.84425
job_seeker: asow92; similarity_score: 0.83739
job_seeker: andrey_utkin; similarity_score: 0.83739
job_seeker: enilsen16; similarity_score: 0.83739
job_seeker: csommers; similarity_score: 0.83739
job_seeker: cpursley; similarity_score: 0.83064
job_seeker: notastartup; similarity_score: 0.83063
job_seeker: pzz; similarity_score: 0.82399
job_seeker: alexandregme; similarity_score: 0.81745
job_seeker: csbartus; similarity_score: 0.81745
job_seeker: coffee667; similarity_score: 0.81102
job_seeker: albur; similarity_score: 0.81102
job_seeker: ddxv; similarity_score: 0.81101
job_seeker: Stamy; similarity_score: 0.81101
job_seeker: thetwopct; similarity_score: 0.80468
job_seeker: joshrael; similarity_score: 0.80467
job_seeker: spacial; similarity_score: 0.79844
job_seeker: shabinesh; similarity_score: 0.79844
job_seeker: sfythe; similarity_score: 0.79844
job_seeker: dmichulke; similarity_score: 0.79844
job_seeker: aivosha; similarity_score: 0.79230
job_seeker: Grue3; similarity_score: 0.78625
job_seeker: sharmanaetor; similarity_score: 0.78625
job_seeker: uladzislau; similarity_score: 0.78625
job_seeker: ashkang; similarity_score: 0.78625
job_seeker: siscia; similarity_score: 0.77443
job_seeker: rockoder; similarity_score: 0.76865
job_seeker: 3zzy; similarity_score: 0.76296
job_seeker: nogbit; similarity_score: 0.76295
job_seeker: krapp; similarity_score: 0.75734
job_seeker: dancole; similarity_score: 0.75182
job_seeker: gothy; similarity_score: 0.75182
job_seeker: rahulroy; similarity_score: 0.75181
job_seeker: madarve; similarity_score: 0.75181
job_seeker: lukeqsee; similarity_score: 0.75181
job_seeker: mickt; similarity_score: 0.74637
job_seeker: mateja; similarity_score: 0.74636
job_seeker: apsdehal; similarity_score: 0.74099
job_seeker: gierach; similarity_score: 0.73571
job_seeker: jecjec; similarity_score: 0.73570
job_seeker: Widow; similarity_score: 0.73049
job_seeker: dmaffett; similarity_score: 0.73049
job_seeker: chrisbrueck; similarity_score: 0.73049
job_seeker: hiby007; similarity_score: 0.73049
job_seeker: zero-g; similarity_score: 0.73048
job_seeker: zplesivcak; similarity_score: 0.72534
job_seeker: mdturnerphys; similarity_score: 0.72534
job_seeker: andrewmatte; similarity_score: 0.72027
job_seeker: BrofessorWolf; similarity_score: 0.72027
job_seeker: dsposito; similarity_score: 0.71527
job_seeker: lordsheepy; similarity_score: 0.71527
job_seeker: yangchi; similarity_score: 0.71526
job_seeker: jayrobin; similarity_score: 0.71034
job_seeker: arenaninja; similarity_score: 0.70067
job_seeker: yen223; similarity_score: 0.69594
job_seeker: J_Darnley; similarity_score: 0.69594
job_seeker: brickmort; similarity_score: 0.68666
job_seeker: agilebyte; similarity_score: 0.68666
job_seeker: BenderV; similarity_score: 0.68666
job_seeker: asherdavidson; similarity_score: 0.68665
job_seeker: keraj; similarity_score: 0.68210
job_seeker: neilk; similarity_score: 0.67762
job_seeker: chroman; similarity_score: 0.67319
job_seeker: ankeshanand; similarity_score: 0.66883
job_seeker: AndroidJedi; similarity_score: 0.66882
job_seeker: Danieru; similarity_score: 0.66450
job_seeker: codez; similarity_score: 0.66450
job_seeker: qute; similarity_score: 0.66450
job_seeker: jayhuang; similarity_score: 0.66025
job_seeker: nirajd; similarity_score: 0.66025
job_seeker: nialo; similarity_score: 0.65605
job_seeker: eshaham; similarity_score: 0.65604
job_seeker: prmobiledev; similarity_score: 0.65604
job_seeker: athesyn; similarity_score: 0.65604
job_seeker: synesso; similarity_score: 0.65604
job_seeker: WasimBhai; similarity_score: 0.65189
job_seeker: stevesunderland; similarity_score: 0.65189
job_seeker: Blackthorn; similarity_score: 0.64778
job_seeker: howard941; similarity_score: 0.63974
job_seeker: mailshanx; similarity_score: 0.63580
job_seeker: Hario; similarity_score: 0.62804
job_seeker: domador; similarity_score: 0.62804
job_seeker: fabulist; similarity_score: 0.62423
job_seeker: hasbelkader; similarity_score: 0.62048
job_seeker: erszcz; similarity_score: 0.61676
job_seeker: dizzystar; similarity_score: 0.60946
job_seeker: emilis_info; similarity_score: 0.60946
job_seeker: chrispecoraro; similarity_score: 0.60945
job_seeker: jj57347; similarity_score: 0.60945
job_seeker: sidmitra; similarity_score: 0.60945
job_seeker: ameen; similarity_score: 0.60587
job_seeker: jorgeisraelp; similarity_score: 0.60587
job_seeker: avyfain; similarity_score: 0.60233
job_seeker: osenar; similarity_score: 0.59883
job_seeker: Daves; similarity_score: 0.59195
job_seeker: davisr; similarity_score: 0.59195
job_seeker: daleco; similarity_score: 0.58857
job_seeker: tylermac1; similarity_score: 0.58191
job_seeker: tarwatirno; similarity_score: 0.58191
job_seeker: lygi; similarity_score: 0.57864
job_seeker: hiddentao; similarity_score: 0.56905
job_seeker: randallsquared; similarity_score: 0.56593
job_seeker: kristallizer1; similarity_score: 0.56283
job_seeker: jrm2k6; similarity_score: 0.56283
job_seeker: giancarlostoro; similarity_score: 0.55977
job_seeker: hugovie; similarity_score: 0.55375
job_seeker: rabc; similarity_score: 0.54209
job_seeker: abathur; similarity_score: 0.53925
job_seeker: 147; similarity_score: 0.53645
job_seeker: edgyswingset; similarity_score: 0.52020
job_seeker: seekinghire14; similarity_score: 0.52019
job_seeker: hireme01; similarity_score: 0.50243
job_seeker: seansmccullough; similarity_score: 0.49282
job_seeker: vdaniuk; similarity_score: 0.48130
job_seeker: rhexs; similarity_score: 0.47247
job_seeker: wyclif; similarity_score: 0.46818
job_seeker: th1agofm; similarity_score: 0.45373
job_seeker: addisonj; similarity_score: 0.44016
job_seeker: jbcrail; similarity_score: 0.43829
job_seeker: dmunoz; similarity_score: 0.41869
job_seeker: laughfactory; similarity_score: 0.41364
job_seeker: doorty; similarity_score: 0.40391
job_seeker: thegrif; similarity_score: 0.40234
job_seeker: astangl; similarity_score: 0.38147
job_seeker: pookieinc; similarity_score: 0.37728
