job_seeker: EddyShure; similarity_score: 0.99602
job_seeker: trumbitta2; similarity_score: 0.99602
job_seeker: white0ut; similarity_score: 0.96538
job_seeker: scool; similarity_score: 0.95436
job_seeker: papes; similarity_score: 0.95436
job_seeker: knoxzin1; similarity_score: 0.94716
job_seeker: sam_rad; similarity_score: 0.94716
job_seeker: HemantPawar; similarity_score: 0.94716
job_seeker: rayalez; similarity_score: 0.94716
job_seeker: it_learnses; similarity_score: 0.94360
job_seeker: david04; similarity_score: 0.94360
job_seeker: asow92; similarity_score: 0.94007
job_seeker: developerbro; similarity_score: 0.93656
job_seeker: pzz; similarity_score: 0.93655
job_seeker: idlewan; similarity_score: 0.93655
job_seeker: pknerd; similarity_score: 0.93655
job_seeker: colsandurz; similarity_score: 0.93655
job_seeker: csommers; similarity_score: 0.93308
job_seeker: notastartup; similarity_score: 0.93307
job_seeker: phish; similarity_score: 0.92962
job_seeker: enilsen16; similarity_score: 0.92962
job_seeker: cpursley; similarity_score: 0.92962
job_seeker: albur; similarity_score: 0.92619
job_seeker: andrey_utkin; similarity_score: 0.92619
job_seeker: alexandregme; similarity_score: 0.92619
job_seeker: csbartus; similarity_score: 0.92279
job_seeker: coffee667; similarity_score: 0.91941
job_seeker: thetwopct; similarity_score: 0.91941
job_seeker: joshrael; similarity_score: 0.91941
job_seeker: Stamy; similarity_score: 0.91941
job_seeker: shabinesh; similarity_score: 0.91940
job_seeker: sfythe; similarity_score: 0.91605
job_seeker: spacial; similarity_score: 0.91605
job_seeker: aivosha; similarity_score: 0.91605
job_seeker: sharmanaetor; similarity_score: 0.90941
job_seeker: dmichulke; similarity_score: 0.90941
job_seeker: ashkang; similarity_score: 0.90941
job_seeker: Grue3; similarity_score: 0.90941
job_seeker: ddxv; similarity_score: 0.90613
job_seeker: madarve; similarity_score: 0.90612
job_seeker: krapp; similarity_score: 0.90287
job_seeker: siscia; similarity_score: 0.90287
job_seeker: gothy; similarity_score: 0.90287
job_seeker: uladzislau; similarity_score: 0.90286
job_seeker: 3zzy; similarity_score: 0.89963
job_seeker: lukeqsee; similarity_score: 0.89642
job_seeker: nogbit; similarity_score: 0.89642
