job_seeker: trumbitta2; similarity_score: 0.99241
job_seeker: EddyShure; similarity_score: 0.99241
job_seeker: white0ut; similarity_score: 0.94244
job_seeker: papes; similarity_score: 0.92907
job_seeker: scool; similarity_score: 0.90971
job_seeker: it_learnses; similarity_score: 0.90344
job_seeker: HemantPawar; similarity_score: 0.90344
job_seeker: knoxzin1; similarity_score: 0.89725
job_seeker: rayalez; similarity_score: 0.89725
job_seeker: idlewan; similarity_score: 0.89115
job_seeker: david04; similarity_score: 0.89115
job_seeker: colsandurz; similarity_score: 0.89115
job_seeker: sam_rad; similarity_score: 0.89115
job_seeker: enilsen16; similarity_score: 0.88512
job_seeker: csommers; similarity_score: 0.87919
job_seeker: asow92; similarity_score: 0.87918
job_seeker: developerbro; similarity_score: 0.87918
job_seeker: phish; similarity_score: 0.87333
job_seeker: notastartup; similarity_score: 0.87333
job_seeker: andrey_utkin; similarity_score: 0.87332
job_seeker: pzz; similarity_score: 0.86754
job_seeker: cpursley; similarity_score: 0.86754
job_seeker: joshrael; similarity_score: 0.86183
job_seeker: pknerd; similarity_score: 0.86183
job_seeker: coffee667; similarity_score: 0.85620
job_seeker: sfythe; similarity_score: 0.85619
job_seeker: albur; similarity_score: 0.85619
job_seeker: thetwopct; similarity_score: 0.85064
job_seeker: csbartus; similarity_score: 0.85063
job_seeker: ddxv; similarity_score: 0.84515
job_seeker: alexandregme; similarity_score: 0.84515
job_seeker: Stamy; similarity_score: 0.84515
job_seeker: shabinesh; similarity_score: 0.83439
job_seeker: sharmanaetor; similarity_score: 0.83438
job_seeker: uladzislau; similarity_score: 0.83438
job_seeker: aivosha; similarity_score: 0.82911
job_seeker: ashkang; similarity_score: 0.82910
job_seeker: spacial; similarity_score: 0.82910
job_seeker: dmichulke; similarity_score: 0.82910
job_seeker: Grue3; similarity_score: 0.82389
job_seeker: siscia; similarity_score: 0.81874
job_seeker: lukeqsee; similarity_score: 0.81874
job_seeker: krapp; similarity_score: 0.81874
job_seeker: rockoder; similarity_score: 0.81366
job_seeker: nogbit; similarity_score: 0.81366
job_seeker: Widow; similarity_score: 0.80863
job_seeker: gothy; similarity_score: 0.80863
job_seeker: 3zzy; similarity_score: 0.80863
job_seeker: dancole; similarity_score: 0.80367
job_seeker: madarve; similarity_score: 0.80367
job_seeker: mickt; similarity_score: 0.79877
job_seeker: mateja; similarity_score: 0.79877
job_seeker: rahulroy; similarity_score: 0.79877
job_seeker: apsdehal; similarity_score: 0.79393
job_seeker: dmaffett; similarity_score: 0.78915
job_seeker: gierach; similarity_score: 0.78915
job_seeker: zero-g; similarity_score: 0.78914
job_seeker: hiby007; similarity_score: 0.78914
job_seeker: jecjec; similarity_score: 0.78442
job_seeker: zplesivcak; similarity_score: 0.77976
job_seeker: andrewmatte; similarity_score: 0.77975
job_seeker: chrisbrueck; similarity_score: 0.77975
job_seeker: yangchi; similarity_score: 0.77975
job_seeker: mdturnerphys; similarity_score: 0.77514
job_seeker: dsposito; similarity_score: 0.77058
job_seeker: jayrobin; similarity_score: 0.76607
job_seeker: lordsheepy; similarity_score: 0.76607
job_seeker: BenderV; similarity_score: 0.75722
job_seeker: BrofessorWolf; similarity_score: 0.75722
job_seeker: asherdavidson; similarity_score: 0.75722
job_seeker: arenaninja; similarity_score: 0.75287
job_seeker: yen223; similarity_score: 0.75286
job_seeker: J_Darnley; similarity_score: 0.74856
job_seeker: keraj; similarity_score: 0.74856
job_seeker: agilebyte; similarity_score: 0.74431
job_seeker: codez; similarity_score: 0.74011
job_seeker: brickmort; similarity_score: 0.74010
job_seeker: ankeshanand; similarity_score: 0.72777
job_seeker: Danieru; similarity_score: 0.72776
job_seeker: chroman; similarity_score: 0.72375
job_seeker: qute; similarity_score: 0.72375
job_seeker: synesso; similarity_score: 0.72375
job_seeker: athesyn; similarity_score: 0.72374
job_seeker: WasimBhai; similarity_score: 0.71977
job_seeker: Blackthorn; similarity_score: 0.71977
job_seeker: AndroidJedi; similarity_score: 0.71977
job_seeker: eshaham; similarity_score: 0.71584
job_seeker: prmobiledev; similarity_score: 0.71583
job_seeker: neilk; similarity_score: 0.71195
job_seeker: jayhuang; similarity_score: 0.71194
job_seeker: nialo; similarity_score: 0.70810
job_seeker: nirajd; similarity_score: 0.70429
job_seeker: stevesunderland; similarity_score: 0.70053
job_seeker: domador; similarity_score: 0.69312
job_seeker: fabulist; similarity_score: 0.69311
job_seeker: howard941; similarity_score: 0.68947
job_seeker: erszcz; similarity_score: 0.68228
job_seeker: hasbelkader; similarity_score: 0.68228
job_seeker: avyfain; similarity_score: 0.67874
job_seeker: dizzystar; similarity_score: 0.67525
job_seeker: jorgeisraelp; similarity_score: 0.67179
job_seeker: chrispecoraro; similarity_score: 0.67179
job_seeker: mailshanx; similarity_score: 0.67179
job_seeker: emilis_info; similarity_score: 0.66836
job_seeker: ameen; similarity_score: 0.66497
job_seeker: sidmitra; similarity_score: 0.66496
job_seeker: jj57347; similarity_score: 0.66161
job_seeker: osenar; similarity_score: 0.66160
job_seeker: Daves; similarity_score: 0.65828
job_seeker: Hario; similarity_score: 0.65828
job_seeker: daleco; similarity_score: 0.65499
job_seeker: lygi; similarity_score: 0.64850
job_seeker: davisr; similarity_score: 0.64531
job_seeker: giancarlostoro; similarity_score: 0.64531
job_seeker: jrm2k6; similarity_score: 0.64215
job_seeker: tylermac1; similarity_score: 0.63902
job_seeker: randallsquared; similarity_score: 0.63901
job_seeker: tarwatirno; similarity_score: 0.63591
job_seeker: hiddentao; similarity_score: 0.62678
job_seeker: kristallizer1; similarity_score: 0.62085
job_seeker: hugovie; similarity_score: 0.60929
job_seeker: rabc; similarity_score: 0.60091
job_seeker: abathur; similarity_score: 0.59275
job_seeker: 147; similarity_score: 0.59275
job_seeker: edgyswingset; similarity_score: 0.59008
job_seeker: hireme01; similarity_score: 0.58481
job_seeker: seekinghire14; similarity_score: 0.57709
job_seeker: seansmccullough; similarity_score: 0.56955
job_seeker: vdaniuk; similarity_score: 0.55743
job_seeker: wyclif; similarity_score: 0.54131
job_seeker: rhexs; similarity_score: 0.53908
job_seeker: th1agofm; similarity_score: 0.52822
job_seeker: addisonj; similarity_score: 0.50578
job_seeker: jbcrail; similarity_score: 0.50578
job_seeker: dmunoz; similarity_score: 0.49433
job_seeker: laughfactory; similarity_score: 0.48161
job_seeker: astangl; similarity_score: 0.46453
job_seeker: doorty; similarity_score: 0.46126
job_seeker: thegrif; similarity_score: 0.45803
job_seeker: pookieinc; similarity_score: 0.45172
