job_seeker: EddyShure; similarity_score: 0.99236
job_seeker: trumbitta2; similarity_score: 0.99235
job_seeker: white0ut; similarity_score: 0.92856
job_seeker: papes; similarity_score: 0.91548
job_seeker: HemantPawar; similarity_score: 0.90908
job_seeker: scool; similarity_score: 0.90908
job_seeker: knoxzin1; similarity_score: 0.89655
job_seeker: david04; similarity_score: 0.89654
job_seeker: sam_rad; similarity_score: 0.89040
job_seeker: rayalez; similarity_score: 0.89040
job_seeker: it_learnses; similarity_score: 0.89040
job_seeker: developerbro; similarity_score: 0.88435
job_seeker: phish; similarity_score: 0.88434
job_seeker: idlewan; similarity_score: 0.87837
job_seeker: colsandurz; similarity_score: 0.87837
job_seeker: asow92; similarity_score: 0.87248
job_seeker: andrey_utkin; similarity_score: 0.86666
job_seeker: cpursley; similarity_score: 0.86666
job_seeker: notastartup; similarity_score: 0.86666
job_seeker: csommers; similarity_score: 0.86666
job_seeker: enilsen16; similarity_score: 0.86666
job_seeker: pknerd; similarity_score: 0.86665
job_seeker: pzz; similarity_score: 0.86091
job_seeker: thetwopct; similarity_score: 0.85525
job_seeker: csbartus; similarity_score: 0.85525
job_seeker: Stamy; similarity_score: 0.84966
job_seeker: spacial; similarity_score: 0.84415
job_seeker: ddxv; similarity_score: 0.84415
job_seeker: alexandregme; similarity_score: 0.84414
job_seeker: joshrael; similarity_score: 0.83870
job_seeker: sfythe; similarity_score: 0.83870
job_seeker: albur; similarity_score: 0.83870
job_seeker: coffee667; similarity_score: 0.83333
job_seeker: sharmanaetor; similarity_score: 0.83333
job_seeker: shabinesh; similarity_score: 0.83332
job_seeker: dmichulke; similarity_score: 0.82802
job_seeker: aivosha; similarity_score: 0.82801
job_seeker: Grue3; similarity_score: 0.82278
job_seeker: siscia; similarity_score: 0.82278
job_seeker: ashkang; similarity_score: 0.81760
job_seeker: uladzislau; similarity_score: 0.81249
job_seeker: krapp; similarity_score: 0.80745
job_seeker: nogbit; similarity_score: 0.80745
job_seeker: madarve; similarity_score: 0.80745
job_seeker: lukeqsee; similarity_score: 0.80744
job_seeker: mickt; similarity_score: 0.80246
job_seeker: dancole; similarity_score: 0.80245
job_seeker: 3zzy; similarity_score: 0.79754
job_seeker: rockoder; similarity_score: 0.79753
job_seeker: jecjec; similarity_score: 0.79267
job_seeker: rahulroy; similarity_score: 0.79267
job_seeker: gothy; similarity_score: 0.79267
job_seeker: apsdehal; similarity_score: 0.78787
job_seeker: hiby007; similarity_score: 0.78787
job_seeker: gierach; similarity_score: 0.78786
job_seeker: mateja; similarity_score: 0.78313
job_seeker: zero-g; similarity_score: 0.77843
job_seeker: andrewmatte; similarity_score: 0.77843
job_seeker: zplesivcak; similarity_score: 0.77843
job_seeker: dmaffett; similarity_score: 0.77380
job_seeker: chrisbrueck; similarity_score: 0.77380
job_seeker: yangchi; similarity_score: 0.77380
job_seeker: Widow; similarity_score: 0.77379
job_seeker: lordsheepy; similarity_score: 0.76922
job_seeker: mdturnerphys; similarity_score: 0.76470
job_seeker: dsposito; similarity_score: 0.76023
