job_seeker: FiddlerClamp; similarity_score: 0.96794
job_seeker: hannes2000; similarity_score: 0.96794
job_seeker: vdimarco; similarity_score: 0.96794
job_seeker: mishkovski; similarity_score: 0.96794
job_seeker: colsandurz; similarity_score: 0.96485
job_seeker: egorbatik; similarity_score: 0.96484
job_seeker: new_user_name; similarity_score: 0.96484
job_seeker: ainiriand; similarity_score: 0.96178
job_seeker: quiqueqs; similarity_score: 0.96178
job_seeker: yowmamasita; similarity_score: 0.96177
job_seeker: gkelly; similarity_score: 0.96177
job_seeker: torkable; similarity_score: 0.96177
job_seeker: domedefelice; similarity_score: 0.95872
job_seeker: Stamy; similarity_score: 0.95872
job_seeker: agurha; similarity_score: 0.95569
job_seeker: saigrandhi; similarity_score: 0.95569
job_seeker: RamunasM; similarity_score: 0.95569
job_seeker: dsfreed; similarity_score: 0.95568
job_seeker: SerialMiller; similarity_score: 0.95568
job_seeker: batjaa; similarity_score: 0.95568
job_seeker: sauravt; similarity_score: 0.95268
job_seeker: pluc; similarity_score: 0.95268
job_seeker: wmil; similarity_score: 0.95268
job_seeker: frontsideair; similarity_score: 0.95267
job_seeker: phish; similarity_score: 0.95267
job_seeker: Hobart116; similarity_score: 0.95267
job_seeker: jdbiggs; similarity_score: 0.95267
job_seeker: jbza; similarity_score: 0.94968
job_seeker: jivux; similarity_score: 0.94968
job_seeker: hyunwoona; similarity_score: 0.94967
job_seeker: sharmanaetor; similarity_score: 0.94670
job_seeker: yesyesnooo; similarity_score: 0.94670
job_seeker: jokoon; similarity_score: 0.94670
job_seeker: speeder; similarity_score: 0.94374
job_seeker: pknerd; similarity_score: 0.94374
job_seeker: greenjellybean; similarity_score: 0.94080
job_seeker: chad_strategic; similarity_score: 0.93788
job_seeker: ownagefool; similarity_score: 0.93788
job_seeker: anujpasricha; similarity_score: 0.93788
job_seeker: webjac; similarity_score: 0.93498
job_seeker: JoshuaDavid; similarity_score: 0.93497
job_seeker: v1ct0r; similarity_score: 0.93209
job_seeker: harrychenca; similarity_score: 0.92922
job_seeker: claudiordgz; similarity_score: 0.92637
job_seeker: sfythe; similarity_score: 0.92637
job_seeker: mariocesar; similarity_score: 0.92354
job_seeker: asfarley; similarity_score: 0.92354
job_seeker: Nullslash; similarity_score: 0.92353
job_seeker: ucacian; similarity_score: 0.92353
job_seeker: ryaneager; similarity_score: 0.92072
job_seeker: japesinator; similarity_score: 0.92072
job_seeker: 3zzy; similarity_score: 0.91793
job_seeker: gothy; similarity_score: 0.91793
job_seeker: ryanjanvier; similarity_score: 0.91792
job_seeker: cpursley; similarity_score: 0.91515
job_seeker: rogerbinns; similarity_score: 0.91514
job_seeker: nubcakes; similarity_score: 0.91238
job_seeker: zachcowell; similarity_score: 0.91238
job_seeker: srpoder; similarity_score: 0.91237
job_seeker: Grue3; similarity_score: 0.91237
job_seeker: 2close4comfort; similarity_score: 0.91237
job_seeker: waiquoo; similarity_score: 0.91237
job_seeker: TapanilaT; similarity_score: 0.90963
job_seeker: cswelin; similarity_score: 0.90690
job_seeker: pablokbs; similarity_score: 0.90690
job_seeker: hiby007; similarity_score: 0.90690
job_seeker: rahulroy; similarity_score: 0.90689
job_seeker: Achshar; similarity_score: 0.90419
job_seeker: nicopace; similarity_score: 0.90418
job_seeker: philippnagel; similarity_score: 0.90418
job_seeker: baggachipz; similarity_score: 0.90418
job_seeker: kidsil; similarity_score: 0.90418
job_seeker: lukasLansky; similarity_score: 0.90149
job_seeker: 32faction; similarity_score: 0.90149
job_seeker: toddrew; similarity_score: 0.90149
job_seeker: csorrell; similarity_score: 0.90148
job_seeker: fvinci; similarity_score: 0.90148
job_seeker: mateja; similarity_score: 0.90148
job_seeker: Daves; similarity_score: 0.90148
job_seeker: jecjec; similarity_score: 0.89880
job_seeker: cday; similarity_score: 0.89880
job_seeker: thomasfromcdnjs; similarity_score: 0.89880
job_seeker: codez; similarity_score: 0.89880
job_seeker: akama; similarity_score: 0.89614
job_seeker: apsdehal; similarity_score: 0.89613
job_seeker: hayolie; similarity_score: 0.89613
job_seeker: asethwright; similarity_score: 0.89348
job_seeker: bruticus; similarity_score: 0.89348
job_seeker: nt_tdc; similarity_score: 0.89348
job_seeker: Cyranix; similarity_score: 0.89348
job_seeker: 2bluesc; similarity_score: 0.89348
job_seeker: gsamm; similarity_score: 0.89348
job_seeker: yzzxy; similarity_score: 0.89085
job_seeker: jan0e; similarity_score: 0.89085
job_seeker: beanmind; similarity_score: 0.89085
job_seeker: BenderV; similarity_score: 0.89084
job_seeker: J_Darnley; similarity_score: 0.89084
job_seeker: keane; similarity_score: 0.89084
job_seeker: yen223; similarity_score: 0.88823
job_seeker: mtdavis; similarity_score: 0.88562
job_seeker: dyadic; similarity_score: 0.88562
job_seeker: sfteus; similarity_score: 0.88303
job_seeker: ddebernardy; similarity_score: 0.88303
job_seeker: darsi; similarity_score: 0.88046
job_seeker: gmoneynj2000; similarity_score: 0.88046
job_seeker: keraj; similarity_score: 0.88046
job_seeker: bluerobotcat; similarity_score: 0.87790
job_seeker: paulojreis; similarity_score: 0.87790
job_seeker: zwetan; similarity_score: 0.87789
job_seeker: navait; similarity_score: 0.87535
job_seeker: ealeksandrov; similarity_score: 0.87535
job_seeker: tomaskazemekas; similarity_score: 0.87282
job_seeker: jw989; similarity_score: 0.87282
job_seeker: emillon; similarity_score: 0.87282
job_seeker: iN7h33nD; similarity_score: 0.87031
job_seeker: Jarlakxen; similarity_score: 0.86780
job_seeker: sdernley; similarity_score: 0.86532
job_seeker: kparaju; similarity_score: 0.86532
job_seeker: 67726e; similarity_score: 0.86285
job_seeker: domador; similarity_score: 0.86039
job_seeker: bcoates; similarity_score: 0.86039
job_seeker: schneidmaster; similarity_score: 0.85795
job_seeker: btbuildem; similarity_score: 0.85795
job_seeker: Akkuma; similarity_score: 0.85794
job_seeker: hereonbusiness; similarity_score: 0.85309
