job_seeker: vdimarco; similarity_score: 0.96721
job_seeker: hannes2000; similarity_score: 0.96720
job_seeker: FiddlerClamp; similarity_score: 0.96720
job_seeker: new_user_name; similarity_score: 0.96405
job_seeker: yowmamasita; similarity_score: 0.96404
job_seeker: colsandurz; similarity_score: 0.96404
job_seeker: quiqueqs; similarity_score: 0.96090
job_seeker: ainiriand; similarity_score: 0.96090
job_seeker: torkable; similarity_score: 0.96090
job_seeker: mishkovski; similarity_score: 0.95779
job_seeker: saigrandhi; similarity_score: 0.95468
job_seeker: gkelly; similarity_score: 0.95468
job_seeker: dsfreed; similarity_score: 0.95468
job_seeker: batjaa; similarity_score: 0.95161
job_seeker: RamunasM; similarity_score: 0.95161
job_seeker: Hobart116; similarity_score: 0.95160
job_seeker: wmil; similarity_score: 0.95160
job_seeker: frontsideair; similarity_score: 0.95160
job_seeker: Stamy; similarity_score: 0.95160
job_seeker: sauravt; similarity_score: 0.94855
job_seeker: egorbatik; similarity_score: 0.94854
job_seeker: jbza; similarity_score: 0.94854
job_seeker: SerialMiller; similarity_score: 0.94854
job_seeker: jdbiggs; similarity_score: 0.94854
job_seeker: pluc; similarity_score: 0.94854
job_seeker: jivux; similarity_score: 0.94854
job_seeker: greenjellybean; similarity_score: 0.94550
job_seeker: pknerd; similarity_score: 0.94550
job_seeker: speeder; similarity_score: 0.94248
job_seeker: phish; similarity_score: 0.94248
job_seeker: domedefelice; similarity_score: 0.94248
job_seeker: webjac; similarity_score: 0.94248
job_seeker: hyunwoona; similarity_score: 0.93948
job_seeker: agurha; similarity_score: 0.93948
job_seeker: jokoon; similarity_score: 0.93948
job_seeker: sharmanaetor; similarity_score: 0.93650
job_seeker: chad_strategic; similarity_score: 0.93650
job_seeker: anujpasricha; similarity_score: 0.93650
job_seeker: ucacian; similarity_score: 0.93353
job_seeker: sfythe; similarity_score: 0.93059
job_seeker: Nullslash; similarity_score: 0.93058
job_seeker: yesyesnooo; similarity_score: 0.93058
job_seeker: JoshuaDavid; similarity_score: 0.92767
job_seeker: v1ct0r; similarity_score: 0.92767
job_seeker: harrychenca; similarity_score: 0.92766
job_seeker: srpoder; similarity_score: 0.92187
job_seeker: mariocesar; similarity_score: 0.92186
job_seeker: rogerbinns; similarity_score: 0.91900
job_seeker: ryaneager; similarity_score: 0.91899
job_seeker: 3zzy; similarity_score: 0.91899
job_seeker: Grue3; similarity_score: 0.91614
job_seeker: gothy; similarity_score: 0.91614
job_seeker: asfarley; similarity_score: 0.91614
job_seeker: nicopace; similarity_score: 0.91614
job_seeker: ownagefool; similarity_score: 0.91331
job_seeker: claudiordgz; similarity_score: 0.91330
job_seeker: waiquoo; similarity_score: 0.91330
job_seeker: japesinator; similarity_score: 0.91049
job_seeker: rahulroy; similarity_score: 0.91048
job_seeker: ryanjanvier; similarity_score: 0.90769
job_seeker: nubcakes; similarity_score: 0.90769
job_seeker: mateja; similarity_score: 0.90768
job_seeker: philippnagel; similarity_score: 0.90768
job_seeker: 32faction; similarity_score: 0.90768
job_seeker: cswelin; similarity_score: 0.90490
job_seeker: toddrew; similarity_score: 0.90490
job_seeker: TapanilaT; similarity_score: 0.90490
job_seeker: hiby007; similarity_score: 0.90490
job_seeker: baggachipz; similarity_score: 0.90490
job_seeker: Achshar; similarity_score: 0.90490
job_seeker: thomasfromcdnjs; similarity_score: 0.90213
job_seeker: 2bluesc; similarity_score: 0.90213
job_seeker: jecjec; similarity_score: 0.90213
job_seeker: zachcowell; similarity_score: 0.90213
job_seeker: pablokbs; similarity_score: 0.90213
job_seeker: gsamm; similarity_score: 0.89938
job_seeker: 2close4comfort; similarity_score: 0.89938
job_seeker: Cyranix; similarity_score: 0.89938
job_seeker: kidsil; similarity_score: 0.89938
job_seeker: codez; similarity_score: 0.89938
job_seeker: cpursley; similarity_score: 0.89665
job_seeker: csorrell; similarity_score: 0.89665
job_seeker: fvinci; similarity_score: 0.89393
job_seeker: keane; similarity_score: 0.89393
job_seeker: akama; similarity_score: 0.89393
job_seeker: beanmind; similarity_score: 0.89393
job_seeker: yen223; similarity_score: 0.89393
job_seeker: paulojreis; similarity_score: 0.89392
job_seeker: bruticus; similarity_score: 0.89123
job_seeker: bluerobotcat; similarity_score: 0.89123
job_seeker: mtdavis; similarity_score: 0.88855
job_seeker: sfteus; similarity_score: 0.88855
job_seeker: apsdehal; similarity_score: 0.88854
job_seeker: lukasLansky; similarity_score: 0.88588
job_seeker: dyadic; similarity_score: 0.88588
job_seeker: jan0e; similarity_score: 0.88587
job_seeker: ddebernardy; similarity_score: 0.88323
job_seeker: BenderV; similarity_score: 0.88323
job_seeker: nt_tdc; similarity_score: 0.88323
job_seeker: darsi; similarity_score: 0.88323
job_seeker: hayolie; similarity_score: 0.88322
job_seeker: ealeksandrov; similarity_score: 0.88322
job_seeker: J_Darnley; similarity_score: 0.88322
job_seeker: cday; similarity_score: 0.88059
job_seeker: Daves; similarity_score: 0.88059
job_seeker: yzzxy; similarity_score: 0.88058
job_seeker: asethwright; similarity_score: 0.88058
job_seeker: tomaskazemekas; similarity_score: 0.87797
job_seeker: keraj; similarity_score: 0.87277
job_seeker: emillon; similarity_score: 0.87019
job_seeker: gmoneynj2000; similarity_score: 0.86764
job_seeker: navait; similarity_score: 0.86764
job_seeker: jw989; similarity_score: 0.86256
job_seeker: iN7h33nD; similarity_score: 0.86005
job_seeker: 67726e; similarity_score: 0.85755
job_seeker: Akkuma; similarity_score: 0.85754
job_seeker: Jarlakxen; similarity_score: 0.85754
job_seeker: schneidmaster; similarity_score: 0.85754
job_seeker: bcoates; similarity_score: 0.85506
job_seeker: zwetan; similarity_score: 0.85259
job_seeker: btbuildem; similarity_score: 0.85014
job_seeker: sdernley; similarity_score: 0.85013
job_seeker: domador; similarity_score: 0.85013
job_seeker: kparaju; similarity_score: 0.84770
job_seeker: avyfain; similarity_score: 0.84526
job_seeker: hereonbusiness; similarity_score: 0.84526
job_seeker: kirpekar; similarity_score: 0.84285
job_seeker: valarauca1; similarity_score: 0.84284
job_seeker: yoav; similarity_score: 0.84045
job_seeker: joyofdata; similarity_score: 0.84044
job_seeker: TheDom; similarity_score: 0.84044
job_seeker: RickS; similarity_score: 0.83805
job_seeker: HamboneWilson; similarity_score: 0.83568
job_seeker: chrispecoraro; similarity_score: 0.83568
job_seeker: osenar; similarity_score: 0.83568
job_seeker: majodev; similarity_score: 0.83333
job_seeker: richardhoward; similarity_score: 0.83098
job_seeker: AlexNeoNomad; similarity_score: 0.83097
job_seeker: eximius; similarity_score: 0.82864
job_seeker: throwaway83; similarity_score: 0.82632
job_seeker: sidmitra; similarity_score: 0.82632
job_seeker: mike-cardwell; similarity_score: 0.82632
job_seeker: acharnou; similarity_score: 0.82401
job_seeker: jrm2k6; similarity_score: 0.81943
job_seeker: jamesbrewer; similarity_score: 0.81491
job_seeker: howard941; similarity_score: 0.81490
job_seeker: siscia; similarity_score: 0.81266
job_seeker: madprops; similarity_score: 0.80162
job_seeker: saiko-chriskun; similarity_score: 0.78876
job_seeker: ryankevans; similarity_score: 0.78876
job_seeker: orteipid; similarity_score: 0.77427
job_seeker: Hario; similarity_score: 0.76822
job_seeker: wyclif; similarity_score: 0.73934
job_seeker: lechuckcaptain; similarity_score: 0.73565
job_seeker: KTamasEnty; similarity_score: 0.71775
job_seeker: tehwalrus; similarity_score: 0.70070
job_seeker: frazer; similarity_score: 0.69739
job_seeker: astangl; similarity_score: 0.67659
job_seeker: chrisbennet; similarity_score: 0.67504
job_seeker: batbomb; similarity_score: 0.64834
