job_seeker: trumbitta2; similarity_score: 0.99730
job_seeker: EddyShure; similarity_score: 0.99730
job_seeker: white0ut; similarity_score: 0.97374
job_seeker: papes; similarity_score: 0.96866
job_seeker: HemantPawar; similarity_score: 0.96614
job_seeker: david04; similarity_score: 0.96614
job_seeker: rayalez; similarity_score: 0.96614
job_seeker: knoxzin1; similarity_score: 0.96613
job_seeker: scool; similarity_score: 0.96613
job_seeker: sam_rad; similarity_score: 0.96363
job_seeker: enilsen16; similarity_score: 0.96113
job_seeker: asow92; similarity_score: 0.96113
job_seeker: csommers; similarity_score: 0.96113
job_seeker: cpursley; similarity_score: 0.95864
job_seeker: it_learnses; similarity_score: 0.95864
job_seeker: developerbro; similarity_score: 0.95864
job_seeker: phish; similarity_score: 0.95618
job_seeker: colsandurz; similarity_score: 0.95617
job_seeker: notastartup; similarity_score: 0.95372
job_seeker: idlewan; similarity_score: 0.95372
job_seeker: csbartus; similarity_score: 0.95127
job_seeker: alexandregme; similarity_score: 0.95127
job_seeker: pknerd; similarity_score: 0.94884
job_seeker: andrey_utkin; similarity_score: 0.94884
job_seeker: Stamy; similarity_score: 0.94884
job_seeker: joshrael; similarity_score: 0.94642
job_seeker: albur; similarity_score: 0.94642
job_seeker: pzz; similarity_score: 0.94642
job_seeker: spacial; similarity_score: 0.94642
job_seeker: shabinesh; similarity_score: 0.94162
job_seeker: Grue3; similarity_score: 0.94162
job_seeker: thetwopct; similarity_score: 0.94162
job_seeker: uladzislau; similarity_score: 0.93924
job_seeker: siscia; similarity_score: 0.93923
job_seeker: sharmanaetor; similarity_score: 0.93923
job_seeker: dmichulke; similarity_score: 0.93686
job_seeker: coffee667; similarity_score: 0.93686
job_seeker: ashkang; similarity_score: 0.93686
job_seeker: krapp; similarity_score: 0.93686
job_seeker: sfythe; similarity_score: 0.93450
job_seeker: ddxv; similarity_score: 0.93450
job_seeker: gothy; similarity_score: 0.93216
job_seeker: lukeqsee; similarity_score: 0.93215
job_seeker: madarve; similarity_score: 0.93215
job_seeker: jecjec; similarity_score: 0.93215
job_seeker: rahulroy; similarity_score: 0.93215
job_seeker: aivosha; similarity_score: 0.92982
job_seeker: nogbit; similarity_score: 0.92749
job_seeker: mateja; similarity_score: 0.92749
job_seeker: rockoder; similarity_score: 0.92749
job_seeker: 3zzy; similarity_score: 0.92749
job_seeker: dmaffett; similarity_score: 0.92749
job_seeker: mickt; similarity_score: 0.92518
job_seeker: gierach; similarity_score: 0.92517
job_seeker: Widow; similarity_score: 0.92288
job_seeker: dancole; similarity_score: 0.92287
job_seeker: apsdehal; similarity_score: 0.92059
job_seeker: yangchi; similarity_score: 0.92058
job_seeker: hiby007; similarity_score: 0.92058
job_seeker: mdturnerphys; similarity_score: 0.91831
job_seeker: zero-g; similarity_score: 0.91831
job_seeker: jayrobin; similarity_score: 0.91830
job_seeker: zplesivcak; similarity_score: 0.91378
job_seeker: keraj; similarity_score: 0.91154
job_seeker: chrisbrueck; similarity_score: 0.91154
job_seeker: arenaninja; similarity_score: 0.91154
job_seeker: andrewmatte; similarity_score: 0.91153
job_seeker: BrofessorWolf; similarity_score: 0.90931
job_seeker: lordsheepy; similarity_score: 0.90930
job_seeker: asherdavidson; similarity_score: 0.90930
job_seeker: eshaham; similarity_score: 0.90709
job_seeker: dsposito; similarity_score: 0.90708
job_seeker: J_Darnley; similarity_score: 0.90708
job_seeker: agilebyte; similarity_score: 0.90486
job_seeker: brickmort; similarity_score: 0.90266
job_seeker: chroman; similarity_score: 0.90048
job_seeker: codez; similarity_score: 0.90047
job_seeker: BenderV; similarity_score: 0.90047
job_seeker: nialo; similarity_score: 0.89829
job_seeker: neilk; similarity_score: 0.89612
job_seeker: synesso; similarity_score: 0.89397
job_seeker: qute; similarity_score: 0.89397
job_seeker: WasimBhai; similarity_score: 0.89396
job_seeker: yen223; similarity_score: 0.89396
job_seeker: prmobiledev; similarity_score: 0.89396
job_seeker: Blackthorn; similarity_score: 0.89182
job_seeker: athesyn; similarity_score: 0.89182
job_seeker: nirajd; similarity_score: 0.88755
job_seeker: Danieru; similarity_score: 0.88755
job_seeker: fabulist; similarity_score: 0.88543
job_seeker: stevesunderland; similarity_score: 0.88543
job_seeker: AndroidJedi; similarity_score: 0.88332
job_seeker: jayhuang; similarity_score: 0.88123
job_seeker: jj57347; similarity_score: 0.88123
job_seeker: ankeshanand; similarity_score: 0.88122
job_seeker: Hario; similarity_score: 0.87913
job_seeker: mailshanx; similarity_score: 0.87499
job_seeker: hasbelkader; similarity_score: 0.87293
job_seeker: avyfain; similarity_score: 0.87293
job_seeker: domador; similarity_score: 0.87089
job_seeker: dizzystar; similarity_score: 0.87088
job_seeker: howard941; similarity_score: 0.87088
job_seeker: osenar; similarity_score: 0.86884
job_seeker: ameen; similarity_score: 0.86682
job_seeker: erszcz; similarity_score: 0.86681
job_seeker: jorgeisraelp; similarity_score: 0.86681
job_seeker: davisr; similarity_score: 0.86479
job_seeker: chrispecoraro; similarity_score: 0.86479
job_seeker: Daves; similarity_score: 0.86278
job_seeker: giancarlostoro; similarity_score: 0.86278
job_seeker: emilis_info; similarity_score: 0.86078
job_seeker: daleco; similarity_score: 0.85879
job_seeker: kristallizer1; similarity_score: 0.85878
job_seeker: lygi; similarity_score: 0.85878
job_seeker: hiddentao; similarity_score: 0.85681
job_seeker: tarwatirno; similarity_score: 0.85483
job_seeker: sidmitra; similarity_score: 0.85286
job_seeker: jrm2k6; similarity_score: 0.85286
job_seeker: randallsquared; similarity_score: 0.85090
job_seeker: tylermac1; similarity_score: 0.84896
job_seeker: rabc; similarity_score: 0.84317
job_seeker: 147; similarity_score: 0.83746
job_seeker: hugovie; similarity_score: 0.83558
job_seeker: edgyswingset; similarity_score: 0.83183
job_seeker: abathur; similarity_score: 0.82997
job_seeker: seekinghire14; similarity_score: 0.82812
job_seeker: hireme01; similarity_score: 0.80827
job_seeker: vdaniuk; similarity_score: 0.80129
job_seeker: seansmccullough; similarity_score: 0.79956
job_seeker: rhexs; similarity_score: 0.79442
job_seeker: wyclif; similarity_score: 0.78935
job_seeker: th1agofm; similarity_score: 0.78434
job_seeker: addisonj; similarity_score: 0.77130
job_seeker: dmunoz; similarity_score: 0.76811
job_seeker: jbcrail; similarity_score: 0.76023
job_seeker: laughfactory; similarity_score: 0.75713
job_seeker: thegrif; similarity_score: 0.74347
job_seeker: astangl; similarity_score: 0.73757
job_seeker: doorty; similarity_score: 0.73319
job_seeker: pookieinc; similarity_score: 0.72037
