job_seeker: new_user_name; similarity_score: 0.96363
job_seeker: hannes2000; similarity_score: 0.95927
job_seeker: FiddlerClamp; similarity_score: 0.95927
job_seeker: colsandurz; similarity_score: 0.95926
job_seeker: batjaa; similarity_score: 0.95495
job_seeker: vdimarco; similarity_score: 0.95494
job_seeker: mishkovski; similarity_score: 0.95494
job_seeker: quiqueqs; similarity_score: 0.95067
job_seeker: torkable; similarity_score: 0.95066
job_seeker: dsfreed; similarity_score: 0.95066
job_seeker: ainiriand; similarity_score: 0.95066
job_seeker: yowmamasita; similarity_score: 0.95066
job_seeker: Stamy; similarity_score: 0.94642
job_seeker: saigrandhi; similarity_score: 0.94642
job_seeker: egorbatik; similarity_score: 0.94222
job_seeker: SerialMiller; similarity_score: 0.94221
job_seeker: Hobart116; similarity_score: 0.94221
job_seeker: RamunasM; similarity_score: 0.94221
job_seeker: frontsideair; similarity_score: 0.93804
job_seeker: gkelly; similarity_score: 0.93804
job_seeker: pknerd; similarity_score: 0.93391
job_seeker: wmil; similarity_score: 0.93391
job_seeker: domedefelice; similarity_score: 0.93391
job_seeker: phish; similarity_score: 0.92982
job_seeker: jivux; similarity_score: 0.92982
job_seeker: jbza; similarity_score: 0.92981
job_seeker: pluc; similarity_score: 0.92981
job_seeker: jdbiggs; similarity_score: 0.92576
job_seeker: sauravt; similarity_score: 0.92575
job_seeker: jokoon; similarity_score: 0.92173
job_seeker: speeder; similarity_score: 0.92173
job_seeker: hyunwoona; similarity_score: 0.92173
job_seeker: anujpasricha; similarity_score: 0.91774
job_seeker: webjac; similarity_score: 0.91774
job_seeker: agurha; similarity_score: 0.91774
job_seeker: yesyesnooo; similarity_score: 0.91774
job_seeker: sharmanaetor; similarity_score: 0.91774
job_seeker: chad_strategic; similarity_score: 0.91378
job_seeker: harrychenca; similarity_score: 0.90986
job_seeker: greenjellybean; similarity_score: 0.90986
job_seeker: sfythe; similarity_score: 0.90986
job_seeker: Nullslash; similarity_score: 0.90597
job_seeker: v1ct0r; similarity_score: 0.90597
job_seeker: JoshuaDavid; similarity_score: 0.89451
job_seeker: asfarley; similarity_score: 0.89451
job_seeker: ucacian; similarity_score: 0.89075
job_seeker: mariocesar; similarity_score: 0.89074
job_seeker: 3zzy; similarity_score: 0.88702
job_seeker: claudiordgz; similarity_score: 0.88702
job_seeker: srpoder; similarity_score: 0.88332
job_seeker: ryaneager; similarity_score: 0.88332
job_seeker: ownagefool; similarity_score: 0.87966
job_seeker: rogerbinns; similarity_score: 0.87966
job_seeker: waiquoo; similarity_score: 0.87966
job_seeker: Grue3; similarity_score: 0.87603
job_seeker: ryanjanvier; similarity_score: 0.87603
job_seeker: gothy; similarity_score: 0.87603
job_seeker: pablokbs; similarity_score: 0.87602
job_seeker: baggachipz; similarity_score: 0.87242
job_seeker: nicopace; similarity_score: 0.87242
job_seeker: hiby007; similarity_score: 0.87242
job_seeker: thomasfromcdnjs; similarity_score: 0.87242
job_seeker: rahulroy; similarity_score: 0.87242
job_seeker: codez; similarity_score: 0.87242
job_seeker: japesinator; similarity_score: 0.87241
job_seeker: cswelin; similarity_score: 0.86885
job_seeker: philippnagel; similarity_score: 0.86884
job_seeker: 2close4comfort; similarity_score: 0.86884
job_seeker: 32faction; similarity_score: 0.86884
job_seeker: mateja; similarity_score: 0.86530
job_seeker: toddrew; similarity_score: 0.86530
job_seeker: zachcowell; similarity_score: 0.86530
job_seeker: nubcakes; similarity_score: 0.86530
job_seeker: Cyranix; similarity_score: 0.86178
job_seeker: Achshar; similarity_score: 0.86178
job_seeker: cpursley; similarity_score: 0.85829
job_seeker: 2bluesc; similarity_score: 0.85829
job_seeker: fvinci; similarity_score: 0.85829
job_seeker: TapanilaT; similarity_score: 0.85829
job_seeker: jecjec; similarity_score: 0.85829
job_seeker: apsdehal; similarity_score: 0.85829
job_seeker: kidsil; similarity_score: 0.85829
job_seeker: asethwright; similarity_score: 0.85829
job_seeker: gsamm; similarity_score: 0.85483
job_seeker: bruticus; similarity_score: 0.85140
job_seeker: Daves; similarity_score: 0.85140
job_seeker: lukasLansky; similarity_score: 0.85140
job_seeker: beanmind; similarity_score: 0.85140
job_seeker: nt_tdc; similarity_score: 0.84799
job_seeker: cday; similarity_score: 0.84799
job_seeker: hayolie; similarity_score: 0.84799
job_seeker: csorrell; similarity_score: 0.84462
job_seeker: akama; similarity_score: 0.84461
job_seeker: sfteus; similarity_score: 0.84461
job_seeker: darsi; similarity_score: 0.84461
job_seeker: jan0e; similarity_score: 0.84461
job_seeker: keane; similarity_score: 0.84126
job_seeker: J_Darnley; similarity_score: 0.84126
job_seeker: mtdavis; similarity_score: 0.83794
job_seeker: bluerobotcat; similarity_score: 0.83793
job_seeker: ddebernardy; similarity_score: 0.83793
job_seeker: yen223; similarity_score: 0.83464
job_seeker: ealeksandrov; similarity_score: 0.83463
job_seeker: yzzxy; similarity_score: 0.83136
job_seeker: paulojreis; similarity_score: 0.82812
job_seeker: BenderV; similarity_score: 0.82811
job_seeker: gmoneynj2000; similarity_score: 0.82489
job_seeker: keraj; similarity_score: 0.82489
job_seeker: navait; similarity_score: 0.81852
job_seeker: emillon; similarity_score: 0.81537
job_seeker: Jarlakxen; similarity_score: 0.81225
job_seeker: dyadic; similarity_score: 0.80915
job_seeker: tomaskazemekas; similarity_score: 0.80915
job_seeker: 67726e; similarity_score: 0.80607
job_seeker: zwetan; similarity_score: 0.80302
job_seeker: jw989; similarity_score: 0.80302
job_seeker: schneidmaster; similarity_score: 0.79999
job_seeker: kparaju; similarity_score: 0.79999
job_seeker: Akkuma; similarity_score: 0.79999
job_seeker: domador; similarity_score: 0.79999
job_seeker: bcoates; similarity_score: 0.79999
job_seeker: iN7h33nD; similarity_score: 0.79698
job_seeker: sdernley; similarity_score: 0.79400
job_seeker: avyfain; similarity_score: 0.78810
job_seeker: btbuildem; similarity_score: 0.78518
job_seeker: chrispecoraro; similarity_score: 0.78228
job_seeker: hereonbusiness; similarity_score: 0.77940
job_seeker: kirpekar; similarity_score: 0.77655
job_seeker: mike-cardwell; similarity_score: 0.77654
job_seeker: joyofdata; similarity_score: 0.77654
job_seeker: AlexNeoNomad; similarity_score: 0.77372
job_seeker: valarauca1; similarity_score: 0.77372
job_seeker: sidmitra; similarity_score: 0.77371
job_seeker: yoav; similarity_score: 0.77371
job_seeker: majodev; similarity_score: 0.76810
job_seeker: acharnou; similarity_score: 0.76533
job_seeker: TheDom; similarity_score: 0.76533
job_seeker: siscia; similarity_score: 0.75985
job_seeker: osenar; similarity_score: 0.75984
job_seeker: RickS; similarity_score: 0.75714
job_seeker: richardhoward; similarity_score: 0.75713
job_seeker: jrm2k6; similarity_score: 0.75444
job_seeker: HamboneWilson; similarity_score: 0.75176
job_seeker: eximius; similarity_score: 0.74911
job_seeker: throwaway83; similarity_score: 0.74911
job_seeker: howard941; similarity_score: 0.73867
job_seeker: madprops; similarity_score: 0.73610
job_seeker: jamesbrewer; similarity_score: 0.73610
job_seeker: saiko-chriskun; similarity_score: 0.72108
job_seeker: ryankevans; similarity_score: 0.70902
job_seeker: orteipid; similarity_score: 0.68386
job_seeker: Hario; similarity_score: 0.67731
job_seeker: lechuckcaptain; similarity_score: 0.65634
job_seeker: wyclif; similarity_score: 0.64241
job_seeker: KTamasEnty; similarity_score: 0.63663
