hiring_manager: chad_strategic; similarity_score: 0.97296
hiring_manager: vseloved; similarity_score: 0.97296
hiring_manager: owainlewis; similarity_score: 0.89999
hiring_manager: razvvan; similarity_score: 0.87804
hiring_manager: omarforgotpwd; similarity_score: 0.84705
hiring_manager: redesignibm; similarity_score: 0.82758
hiring_manager: bnr; similarity_score: 0.81817
hiring_manager: andy; similarity_score: 0.80898
hiring_manager: ononoma; similarity_score: 0.79999
hiring_manager: yurisagalov; similarity_score: 0.76595
hiring_manager: lowglow; similarity_score: 0.75789
hiring_manager: CurtHagenlocher; similarity_score: 0.74226
hiring_manager: hungryblank; similarity_score: 0.72726
hiring_manager: dblock; similarity_score: 0.71999
hiring_manager: lgsilver; similarity_score: 0.71999
hiring_manager: mjhea0; similarity_score: 0.71286
hiring_manager: nicholaides; similarity_score: 0.71286
hiring_manager: tortillasauce; similarity_score: 0.69230
hiring_manager: jimmyrocks; similarity_score: 0.69229
hiring_manager: acudmore; similarity_score: 0.69229
hiring_manager: meifamous; similarity_score: 0.68571
hiring_manager: gshahlot; similarity_score: 0.68571
hiring_manager: mattculbreth; similarity_score: 0.68570
hiring_manager: merinid; similarity_score: 0.67924
hiring_manager: thisjody; similarity_score: 0.66054
hiring_manager: robhunter; similarity_score: 0.65454
hiring_manager: murtza; similarity_score: 0.64864
hiring_manager: odiroot; similarity_score: 0.64864
hiring_manager: k1w1; similarity_score: 0.64285
hiring_manager: jevans; similarity_score: 0.64285
hiring_manager: samg; similarity_score: 0.64285
hiring_manager: brandnewlow; similarity_score: 0.64284
hiring_manager: thehar; similarity_score: 0.63716
hiring_manager: ehartsuyker; similarity_score: 0.63716
hiring_manager: khaki54; similarity_score: 0.62608
hiring_manager: gavanwilhite; similarity_score: 0.61016
hiring_manager: jauntvr_amy; similarity_score: 0.61016
hiring_manager: tomblomfield; similarity_score: 0.61016
hiring_manager: nerdz; similarity_score: 0.61016
hiring_manager: jack7890; similarity_score: 0.61016
hiring_manager: macrosak; similarity_score: 0.60503
hiring_manager: nathanh; similarity_score: 0.59999
hiring_manager: DustinCalim; similarity_score: 0.59503
hiring_manager: mazzarello; similarity_score: 0.59016
hiring_manager: 7parkdata; similarity_score: 0.59015
hiring_manager: Tarang; similarity_score: 0.58535
hiring_manager: AndroidJedi; similarity_score: 0.58063
