hiring_manager: chad_strategic; similarity_score: 0.99064
hiring_manager: vseloved; similarity_score: 0.99064
hiring_manager: owainlewis; similarity_score: 0.96803
hiring_manager: razvvan; similarity_score: 0.96362
hiring_manager: redesignibm; similarity_score: 0.94642
hiring_manager: andy; similarity_score: 0.93805
hiring_manager: bnr; similarity_score: 0.93804
hiring_manager: yurisagalov; similarity_score: 0.93804
hiring_manager: omarforgotpwd; similarity_score: 0.93804
hiring_manager: ononoma; similarity_score: 0.92981
hiring_manager: CurtHagenlocher; similarity_score: 0.91378
hiring_manager: lgsilver; similarity_score: 0.90986
hiring_manager: lowglow; similarity_score: 0.90986
hiring_manager: merinid; similarity_score: 0.89830
hiring_manager: tortillasauce; similarity_score: 0.89830
hiring_manager: gshahlot; similarity_score: 0.89451
hiring_manager: jimmyrocks; similarity_score: 0.88702
hiring_manager: mjhea0; similarity_score: 0.88332
hiring_manager: dblock; similarity_score: 0.88332
hiring_manager: mattculbreth; similarity_score: 0.87966
hiring_manager: nicholaides; similarity_score: 0.87966
hiring_manager: meifamous; similarity_score: 0.87602
hiring_manager: hungryblank; similarity_score: 0.87602
hiring_manager: acudmore; similarity_score: 0.86884
hiring_manager: robhunter; similarity_score: 0.86884
hiring_manager: k1w1; similarity_score: 0.86530
hiring_manager: thisjody; similarity_score: 0.86178
hiring_manager: odiroot; similarity_score: 0.86178
hiring_manager: ehartsuyker; similarity_score: 0.86177
hiring_manager: jevans; similarity_score: 0.85483
hiring_manager: samg; similarity_score: 0.85483
hiring_manager: khaki54; similarity_score: 0.85482
hiring_manager: jack7890; similarity_score: 0.85139
hiring_manager: thehar; similarity_score: 0.84799
hiring_manager: brandnewlow; similarity_score: 0.84799
hiring_manager: DustinCalim; similarity_score: 0.84461
hiring_manager: nathanh; similarity_score: 0.84461
hiring_manager: nerdz; similarity_score: 0.84461
hiring_manager: gavanwilhite; similarity_score: 0.84126
hiring_manager: tomblomfield; similarity_score: 0.83794
hiring_manager: jauntvr_amy; similarity_score: 0.83464
hiring_manager: Tarang; similarity_score: 0.83136
hiring_manager: murtza; similarity_score: 0.83136
hiring_manager: samingrassia; similarity_score: 0.83136
hiring_manager: 7parkdata; similarity_score: 0.82811
hiring_manager: macrosak; similarity_score: 0.82489
hiring_manager: AndroidJedi; similarity_score: 0.82170
hiring_manager: ptlkitccat; similarity_score: 0.82169
hiring_manager: chrisdl; similarity_score: 0.82169
hiring_manager: westi; similarity_score: 0.81853
hiring_manager: scanr; similarity_score: 0.81852
hiring_manager: peawee; similarity_score: 0.81852
hiring_manager: mazzarello; similarity_score: 0.81538
hiring_manager: pierreant_p; similarity_score: 0.81225
hiring_manager: kevinmchugh; similarity_score: 0.81225
hiring_manager: martidumas; similarity_score: 0.80915
hiring_manager: logotype; similarity_score: 0.80915
hiring_manager: qwerpoiuty; similarity_score: 0.80607
hiring_manager: hazzadous; similarity_score: 0.80607
hiring_manager: frb; similarity_score: 0.80302
hiring_manager: QTtech; similarity_score: 0.80302
hiring_manager: mazerj; similarity_score: 0.80302
hiring_manager: arthurgibson; similarity_score: 0.80302
hiring_manager: yegg; similarity_score: 0.79999
hiring_manager: jconnolly; similarity_score: 0.79699
hiring_manager: vimeojobs; similarity_score: 0.79698
hiring_manager: kiyoto; similarity_score: 0.79698
hiring_manager: robertpohl; similarity_score: 0.79400
hiring_manager: jscalisi; similarity_score: 0.79400
hiring_manager: joekur; similarity_score: 0.79400
hiring_manager: martinlanden; similarity_score: 0.79104
hiring_manager: morgante; similarity_score: 0.79103
hiring_manager: nahidalam; similarity_score: 0.78809
hiring_manager: lennies; similarity_score: 0.78809
hiring_manager: margiexu; similarity_score: 0.78809
hiring_manager: lamplightr; similarity_score: 0.78809
hiring_manager: ryan_f; similarity_score: 0.78518
hiring_manager: workmarket; similarity_score: 0.78517
hiring_manager: feverishaaron; similarity_score: 0.78228
hiring_manager: kenrose; similarity_score: 0.78227
hiring_manager: a5huynh; similarity_score: 0.77940
hiring_manager: drc37; similarity_score: 0.77655
hiring_manager: pzearfoss; similarity_score: 0.77655
hiring_manager: joe_fro; similarity_score: 0.77655
hiring_manager: saucelabs; similarity_score: 0.77655
hiring_manager: demac; similarity_score: 0.77654
hiring_manager: scidev; similarity_score: 0.77654
hiring_manager: cpenner461; similarity_score: 0.77371
hiring_manager: austinhallock; similarity_score: 0.77371
hiring_manager: transitorykris; similarity_score: 0.77371
hiring_manager: andrewlin; similarity_score: 0.77090
hiring_manager: adamalix; similarity_score: 0.77090
hiring_manager: johnballjibe; similarity_score: 0.76810
hiring_manager: pkrein; similarity_score: 0.76534
hiring_manager: USNetizen; similarity_score: 0.76533
hiring_manager: tristanz; similarity_score: 0.76258
hiring_manager: wadenick; similarity_score: 0.76258
hiring_manager: allbombs; similarity_score: 0.76258
hiring_manager: Rodi; similarity_score: 0.76258
hiring_manager: chris_raptr; similarity_score: 0.75984
hiring_manager: wittedhaddock; similarity_score: 0.75714
hiring_manager: salar; similarity_score: 0.75714
hiring_manager: ben-deskpro; similarity_score: 0.75713
hiring_manager: drp; similarity_score: 0.75444
hiring_manager: dmritard96; similarity_score: 0.75444
hiring_manager: hmpc; similarity_score: 0.75443
hiring_manager: kdavari; similarity_score: 0.75177
hiring_manager: jasoncartwright; similarity_score: 0.75176
hiring_manager: robg; similarity_score: 0.75176
hiring_manager: ben336; similarity_score: 0.74911
hiring_manager: mrw34; similarity_score: 0.74647
hiring_manager: jsnook; similarity_score: 0.74647
